"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2025-12-01","COAX25","COA","COA","COA",0,"2025-12-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.74,350,0,0,"2025-07-31",0
"2025-12-01","COAZ25","COA","COA","COA",0,"2026-01-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7575,94,0,0,"2025-08-29",0
"2025-12-01","COAF26","COA","COA","COA",0,"2026-02-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.76,81,0,0,"2025-09-29",0
"2025-12-01","COAG26","COA","COA","COA",0,"2026-03-02",0,1,0,0,0,0,0,148,0,-0.005,97.77,97.77,97.77,0,7,97.77,171,0,0,"2025-10-31",0
"2025-12-01","COAH26","COA","COA","COA",0,"2026-04-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.78,0,0,0,"2025-11-28",0
"2025-12-02","COAZ25","COA","COA","COA",0,"2026-01-02",0,1,0,0,0,0,0,50,0,0.0025,97.76,97.76,97.76,0,1,97.7575,94,0,0,"2025-08-29",0
"2025-12-02","COAF26","COA","COA","COA",0,"2026-02-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.76,81,0,0,"2025-09-29",0
"2025-12-02","COAG26","COA","COA","COA",0,"2026-03-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.77,245,0,0,"2025-10-31",0
"2025-12-02","COAH26","COA","COA","COA",0,"2026-04-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.78,0,0,0,"2025-11-28",0
"2025-12-03","COAZ25","COA","COA","COA",0,"2026-01-02",0,1,0,0,0,0,0,163,0,0.005,97.765,97.765,97.76,0,4,97.76,44,0,0,"2025-08-29",0
"2025-12-03","COAF26","COA","COA","COA",0,"2026-02-02",0,1,0,0,0,0,0,59,0,0.005,97.765,97.765,97.765,0,2,97.765,81,0,0,"2025-09-29",0
"2025-12-03","COAG26","COA","COA","COA",0,"2026-03-02",0,1,0,0,0,0,0,50,0,0.01,97.78,97.78,97.78,0,1,97.775,245,0,0,"2025-10-31",0
"2025-12-03","COAH26","COA","COA","COA",0,"2026-04-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.785,0,0,0,"2025-11-28",0
"2025-12-04","COAZ25","COA","COA","COA",0,"2026-01-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7625,79,0,0,"2025-08-29",0
"2025-12-04","COAF26","COA","COA","COA",0,"2026-02-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.765,32,0,0,"2025-09-29",0
"2025-12-04","COAG26","COA","COA","COA",0,"2026-03-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.775,212,0,0,"2025-10-31",0
