"Credit liabilities of households (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0639-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of households 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government 2 5","27,835","27,961","28,073","29,954","30,492","30,867","30,903","30,938","30,923","31,178","31,390","31,949","31,884","31,783","31,633","31,772","31,922","32,090","32,260","32,384","32,473","32,510","32,525","32,591","32,698","32,807","32,937","33,114","33,293","33,447","33,551","33,632","33,696","33,790","33,889","34,016","34,149","34,312","34,428","34,521","34,605","34,656","34,893","35,094","35,286","35,474","35,631","35,657","35,706","35,792","31,943","32,045","32,158","32,223","32,561","32,855","33,161","33,417","33,687","33,984","34,368","34,669","34,927","35,265","35,607","35,923","36,198","36,461","36,742","37,044","37,357","37,695","38,112","38,517","38,902","39,202","39,500","39,788"
"Non-bank financial corporations 2 5","171,681","170,482","169,493","167,568","166,583","166,537","165,805","165,102","164,186","164,017","163,747","163,435","162,004","160,727","159,583","158,815","158,333","157,414","157,599","157,952","158,139","158,023","157,731","157,467","157,858","158,338","159,031","159,635","160,267","160,904","161,183","161,713","161,835","162,180","162,384","162,083","162,033","161,977","161,865","162,227","163,011","162,973","162,825","162,625","162,914","163,397","163,900","164,564","165,845","167,009","167,974","168,898","169,428","169,970","170,996","171,618","172,313","173,339","174,813","175,904","174,882","174,871","175,285","175,689","175,679","176,209","176,875","177,797","178,852","179,070","179,522","179,089","180,101","181,302","181,955","182,009","182,850","183,209"
"Credit unions and caisse populaires 2 5","78,367","78,270","78,413","76,723","75,902","75,992","75,767","75,595","75,431","75,138","74,947","74,743","74,533","74,366","74,411","74,367","74,574","74,302","74,145","74,152","74,127","74,028","73,895","73,764","73,958","74,204","74,627","74,820","75,004","75,239","75,182","75,374","75,189","75,361","75,460","75,019","74,973","74,900","74,814","74,804","75,265","74,965","74,978","74,933","75,320","75,448","75,574","75,820","76,151","76,378","76,363","76,743","76,792","76,947","77,509","77,685","77,843","78,233","78,482","78,844","78,953","79,068","79,684","79,971","79,878","80,380","80,389","80,667","81,015","80,982","81,137","81,534","81,864","82,396","82,360","82,248","82,957","83,228"
"Trust companies and mortgage loan companies 2 5","1,090","965","819","825","826","836","786","763","690","688","662","643","618","598","566","557","530","515","508","504","501","501","502","505","514","521","531","542","563","580","598","611","633","658","682","709","767","781","798","834","858","892","913","940","961","989","1,017","1,052","1,082","1,111","1,165","1,203","1,239","1,276","1,305","1,344","1,398","1,437","2,007","2,073","1,109","1,052","993","993","1,009","1,026","1,028","1,043","1,047","1,080","1,115","17","17","16","16","16","14","15"
"Financial vehicle corporations engaged in securitization 2 6","11,475","11,452","11,386","11,356","11,302","11,226","10,860","10,501","10,012","10,534","10,906","11,317","11,057","10,868","10,632","10,448","10,231","9,986","10,429","10,867","11,162","11,403","11,511","11,670","12,002","12,361","12,722","12,868","12,991","13,061","13,105","13,123","13,071","12,969","12,807","12,674","12,443","12,286","12,075","12,301","12,496","12,630","12,614","12,556","12,497","12,457","12,422","12,398","12,525","12,677","12,815","13,093","13,346","13,523","13,626","13,669","13,759","13,938","14,172","14,412","14,347","14,363","14,362","14,363","14,339","14,259","14,791","15,276","15,797","15,869","15,982","16,090","16,241","16,383","16,524","16,556","16,575","16,536"
"Other financial corporations n.e.i. 2 7","80,749","79,795","78,875","78,664","78,553","78,483","78,392","78,243","78,053","77,657","77,232","76,732","75,796","74,895","73,974","73,443","72,998","72,611","72,517","72,429","72,349","72,091","71,823","71,528","71,384","71,252","71,151","71,405","71,709","72,024","72,298","72,605","72,942","73,192","73,435","73,681","73,850","74,010","74,178","74,288","74,392","74,486","74,320","74,196","74,136","74,503","74,887","75,294","76,087","76,843","77,631","77,859","78,051","78,224","78,556","78,920","79,313","79,731","80,152","80,575","80,473","80,388","80,246","80,362","80,453","80,544","80,667","80,811","80,993","81,139","81,288","81,448","81,979","82,507","83,055","83,189","83,304","83,430"
"Other lenders n.e.i. 2 8","12,660","12,706","12,755","12,639","12,520","12,404","12,453","12,502","12,550","12,365","12,185","12,000","11,893","11,797","11,690","11,684","11,678","11,672","11,721","11,770","11,818","11,823","11,827","11,832","11,794","11,760","11,722","11,741","11,762","11,781","11,814","11,848","11,880","11,885","11,890","11,895","11,975","12,047","12,127","12,118","12,108","12,099","12,072","12,046","12,020","11,954","11,891","11,825","11,712","11,606","11,493","11,499","11,504","11,510","11,483","11,455","11,429","11,384","11,339","11,294","11,179","11,074","10,959","10,870","10,777","10,688","10,697","10,706","10,715","10,741","10,767","10,793","10,815","10,836","10,858","10,858","10,857","10,857"
"Mortgage loans","1,682,271","1,690,858","1,699,444","1,708,571","1,713,526","1,718,887","1,727,762","1,739,036","1,753,203","1,768,506","1,782,298","1,794,311","1,807,132","1,817,102","1,832,318","1,852,527","1,869,053","1,891,108","1,907,148","1,922,413","1,935,422","1,950,374","1,968,751","1,983,952","2,001,192","2,017,371","2,032,518","2,047,999","2,064,672","2,079,422","2,090,839","2,099,154","2,107,288","2,113,408","2,119,232","2,124,287","2,130,527","2,136,712","2,143,651","2,150,193","2,155,756","2,162,855","2,170,140","2,179,324","2,186,144","2,193,260","2,199,889","2,204,466","2,208,649","2,215,629","2,222,497","2,228,077","2,235,890","2,242,594","2,250,458","2,259,499","2,269,088","2,279,096","2,290,672","2,298,042","2,307,175","2,316,214","2,324,331","2,334,307","2,343,178","2,352,010","2,357,357","2,368,859","2,378,873","2,390,922","2,399,669","2,405,265","2,413,443","2,420,911","2,427,932","2,435,394","2,441,627","2,450,456"
"Residential mortgages 9","1,670,563","1,679,299","1,687,902","1,697,124","1,702,109","1,707,510","1,716,249","1,727,562","1,741,737","1,756,987","1,770,761","1,782,719","1,795,526","1,805,468","1,820,668","1,840,794","1,857,245","1,879,139","1,895,217","1,910,457","1,923,400","1,938,396","1,956,757","1,972,011","1,989,248","2,005,431","2,020,601","2,036,078","2,052,737","2,067,509","2,078,936","2,087,280","2,095,456","2,101,632","2,107,504","2,112,649","2,118,947","2,125,222","2,132,179","2,138,713","2,144,323","2,151,514","2,158,832","2,168,083","2,174,953","2,182,145","2,188,844","2,193,503","2,197,783","2,204,852","2,211,807","2,217,487","2,225,376","2,232,123","2,240,050","2,249,158","2,258,809","2,268,902","2,280,579","2,288,047","2,297,230","2,306,366","2,314,605","2,324,682","2,333,672","2,342,631","2,348,059","2,359,638","2,369,725","2,381,934","2,390,801","2,396,549","2,404,786","2,412,261","2,419,350","2,426,882","2,433,210","2,442,164"
"Chartered banks 9 10","1,245,208","1,253,216","1,261,303","1,270,384","1,275,574","1,280,604","1,288,043","1,298,256","1,310,639","1,325,188","1,338,155","1,349,353","1,361,125","1,370,361","1,384,717","1,400,839","1,414,617","1,432,346","1,446,586","1,459,734","1,471,404","1,482,580","1,496,765","1,508,202","1,521,184","1,533,614","1,545,378","1,556,693","1,569,343","1,579,540","1,588,430","1,594,358","1,600,776","1,605,265","1,609,904","1,613,929","1,617,981","1,622,113","1,627,507","1,631,007","1,634,076","1,638,210","1,642,169","1,648,203","1,651,996","1,655,801","1,659,635","1,661,614","1,663,898","1,668,907","1,674,046","1,677,601","1,683,256","1,687,484","1,692,719","1,698,674","1,705,325","1,711,833","1,719,584","1,723,313","1,746,758","1,751,965","1,757,064","1,762,203","1,766,608","1,771,689","1,773,653","1,781,896","1,788,894","1,798,219","1,804,165","1,812,194","1,818,031","1,823,427","1,828,132","1,833,157","1,836,958","1,843,268"
