"Credit liabilities of private non-financial corporations (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0640-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of private non-financial corporations 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other lenders n.e.i. 2 5 8","106,086","109,322","114,428","112,686","112,610","111,672","113,520","114,287","118,279","117,552","114,918","112,422","114,836","115,245","120,640","119,334","118,076","118,006","119,704","122,766","125,843","125,317","127,808","129,217","128,821","127,003","123,476","124,088","123,234","122,760","128,326","129,892","131,191","130,838","129,224","129,904","130,678","131,262","132,393","134,014","134,196","132,298","132,095","134,654","136,806","139,706","137,166","135,558","136,061","139,019","139,763","139,993","139,666","141,770","141,985","139,873","139,885","141,983","143,496","146,707","152,536","152,837","152,049","148,309","149,236","151,481","154,684","155,764","155,974","156,702","156,362","153,981","152,566","149,688","147,673","142,708","142,345","142,859"
"Of which: non-residents 2 5","96,154","98,550","102,759","100,824","100,549","99,418","101,109","101,720","105,560","104,926","102,383","99,980","102,044","102,136","107,181","105,773","104,410","104,238","105,816","108,758","111,719","111,102","113,505","114,823","114,326","112,416","108,788","109,401","108,548","108,075","113,668","115,262","116,587","116,172","114,498","115,116","115,595","115,912","116,748","118,170","118,147","116,050","115,813","118,339","120,458","123,182","120,473","118,689","119,088","121,949","122,589","122,901","122,658","124,844","125,098","123,025","123,075","124,985","126,316","129,339","135,159","135,451","134,654","130,882","131,775","133,988","136,926","137,741","137,695","138,302","137,844","135,342","133,836","130,877","128,771","123,793","123,416","123,917"
"Residential 9","71,362","71,688","72,356","72,805","73,797","74,880","75,371","76,232","77,589","78,809","79,888","81,261","82,065","82,813","83,658","84,566","85,072","86,153","87,310","88,454","89,585","89,659","90,941","91,679","92,310","93,272","94,530","95,258","96,207","96,801","97,314","97,796","97,981","98,507","99,442","100,188","100,693","101,047","101,463","101,987","102,604","102,488","102,870","103,284","103,515","104,038","104,824","105,478","106,036","106,941","107,131","107,790","108,278","109,008","109,269","109,427","109,823","111,126","111,763","112,760","113,761","114,567","115,092","115,743","116,412","115,512","119,152","119,075","119,692","119,519","119,068","118,607","119,258","120,409","120,548","121,361","122,581","122,955"
"Chartered banks 9 10","52,472","52,749","53,360","53,733","54,617","55,592","55,990","56,751","57,978","59,028","59,902","61,092","61,809","62,491","63,247","64,021","64,419","65,360","66,322","67,265","68,200","68,107","69,195","69,776","70,104","70,802","71,770","72,400","73,220","73,695","74,092","74,481","74,567","74,873","75,593","76,117","76,466","76,680","76,944","77,217","77,578","77,214","77,409","77,664","77,709","77,927","78,430","78,787","79,282","80,126","80,252","80,597","80,757","81,186","81,434","81,573","81,924","83,018","83,373","84,112","84,991","85,663","86,100","86,550","87,029","86,009","89,441","89,168","89,553","89,617","89,379","89,134","89,464","90,360","90,200","90,898","91,973","92,218"
"Non-banks 9 10","18,890","18,939","18,996","19,072","19,180","19,288","19,381","19,481","19,611","19,781","19,986","20,169","20,256","20,322","20,411","20,545","20,653","20,793","20,988","21,189","21,385","21,552","21,746","21,903","22,206","22,470","22,760","22,858","22,987","23,106","23,222","23,315","23,414","23,634","23,849","24,071","24,227","24,367","24,519","24,770","25,026","25,274","25,461","25,620","25,806","26,111","26,394","26,691","26,754","26,815","26,879","27,193","27,521","27,822","27,835","27,854","27,899","28,108","28,390","28,648","28,770","28,904","28,992","29,193","29,383","29,503","29,711","29,907","30,139","29,902","29,689","29,473","29,794","30,049","30,348","30,463","30,608","30,737"
"Government 9 10","478","466","453","457","461","465","423","381","341","348","356","363","370","376","383","391","400","408","409","409","410","416","422","428","436","443","451","427","401","377","381","384","388","384","380","376","360","345","329","337","345","353","347","341","335","347","360","372","364","356","348","334","321","307","322","337","352","360","368","376","374","371","369","368","367","366","366","366","366","354","341","329","328","328","327","327","326","326"
"Non-bank financial corporations 9 10 11","18,158","18,212","18,273","18,340","18,438","18,535","18,669","18,809","18,977","19,137","19,330","19,503","19,579","19,636","19,713","19,834","19,927","20,050","20,241","20,438","20,629","20,787","20,973","21,122","21,406","21,654","21,926","22,046","22,198","22,337","22,446","22,530","22,623","22,834","23,042","23,257","23,430","23,585","23,755","23,986","24,223","24,451","24,630","24,779","24,958","25,236","25,494","25,766","25,827","25,886","25,949","26,267","26,600","26,905","26,903","26,906","26,936","27,136","27,409","27,659","27,782","27,916","28,004","28,206","28,398","28,520","28,730","28,928","29,162","28,939","28,739","28,537","28,860","29,116","29,417","29,532","29,679","29,808"
"Credit unions and caisse populaires 9 10","9,262","9,344","9,435","9,524","9,640","9,757","9,844","9,937","10,051","10,157","10,283","10,397","10,507","10,596","10,710","10,825","10,910","11,025","11,154","11,290","11,416","11,480","11,566","11,617","11,718","11,807","11,897","12,010","12,151","12,280","12,368","12,434","12,499","12,603","12,698","12,802","12,852","12,896","12,947","12,984","13,017","13,051","13,112","13,146","13,200","13,279","13,329","13,395","13,487","13,582","13,683","13,779","13,880","13,968","14,006","14,054","14,106","14,251","14,448","14,631","14,752","14,892","14,990","15,096","15,193","15,226","15,443","15,655","15,880","15,876","15,869","15,882","16,006","16,093","16,208","16,303","16,429","16,543"
"Trust companies and mortgage loan companies 9 10","1,139","1,099","1,055","1,011","967","923","905","888","871","893","915","937","908","883","854","837","819","802","832","861","890","916","941","967","1,052","1,128","1,213","1,161","1,107","1,055","1,061","1,067","1,073","1,159","1,241","1,327","1,367","1,404","1,444","1,572","1,704","1,832","1,902","1,972","2,040","2,138","2,233","2,331","2,213","2,102","1,984","2,149","2,320","2,485","2,392","2,299","2,209","2,161","2,114","2,066","1,972","1,886","1,792","1,785","1,777","1,770","1,584","1,397","1,217","1,093","972","848","968","1,075","1,195","1,187","1,179","1,171"
"Financial vehicle corporations engaged in securitization 6 9 10","700","711","723","713","704","694","704","715","725","721","718","714","732","749","767","747","726","706","692","678","664","659","654","649","649","648","648","688","730","770","776","781","787","803","818","833","863","890","920","922","925","927","934","941","948","953","958","963","972","979","988","991","994","997","996","996","995","1,035","1,075","1,115","1,156","1,193","1,234","1,273","1,313","1,352","1,386","1,421","1,454","1,427","1,401","1,374","1,375","1,376","1,377","1,368","1,359","1,351"
"Of which: off balance-sheet NHA-MBS 9 10 12","360","374","390","377","366","353","331","344","333","328","323","318","345","373","401","367","333","298","292","286","280","270","261","252","253","253","253","255","257","257","262","266","270","262","253","244","234","224","214","215","216","216","216","216","216","218","219","221","219","217","215","213","210","208","209","210","211","213","216","218","221","222","223","226","230","233","252","270","288","284","280","277","278","279","280","281","282","283"
