sector,layer,parent,child,sd_y,sd_dx,ratio,pass
households,2,goc_5y,effective_household_rate,71.60268245029799,9.729617619833274,7.359249381428925,True
households,3,effective_household_rate,mortgage_funds_advanced_growth,1946.6157300459681,11.193733713913092,173.90227244966974,True
general_banking,2,goc_5y,gic_5y,56.02943798170961,9.729617619833274,5.758647479372343,True
general_banking,3,gic_5y,lending_deposit_spread,33.803595529803886,11.023479714472153,3.0665086166417037,True
central_governments,2,goc_2y,tbill_3m,115.37312474710242,5.408138868064675,21.33324005941977,True
central_governments,3,tbill_3m,tbill_outstanding_growth,876.4853005860667,7.2257698714859995,121.29991906396198,True
central_banks,2,goc_10y,corra_target_spread,2.1516298324315604,5.405260517798368,0.39806218874126476,False
nfcs,2,goc_2y,effective_business_rate,90.70576538155815,9.137922560695435,9.926300510764566,True
nfcs,3,effective_business_rate,nfc_nonmortgage_growth,56.19692890295739,12.11164338509869,4.639909475216065,True
nfcs,4,nfc_nonmortgage_growth,business_insolvencies_growth,12.778922060970405,0.7199695558057593,17.74925336484371,True
asset_managers,2,goc_10y,bond_etf_volume_growth,6866.261406038495,5.405260517798368,1270.2924092981946,True
asset_managers,3,bond_etf_volume_growth,zag_xic_return_spread,0.79609037123473,113.31294316542646,0.00702559080186022,False
hedge_funds,2,goc_2y,cra_oi_growth,219.53672333783737,5.408138868064675,40.59376593197569,True
hedge_funds,3,cra_oi_growth,cra_volume_growth,63.111724821652125,3.151467413955489,20.026139106556382,True
banks,2,goc_2y,gic_1y,89.8147413934397,9.137922560695435,9.82879213485088,True
banks,3,gic_1y,lending_deposit_spread,33.803595529803886,20.732196964167095,1.630487863308891,True
banks,4,lending_deposit_spread,bank_equity_return,37.29580822700871,20.681416145486068,1.803348859896565,True
