sector,layer,parent,candidate,is_selected,sd_y,sd_dx,ratio,pass,existing_status
households,2,goc_5y,effective_household_rate,True,71.60268245029799,9.729617619833274,7.359249381428925,True,selected
households,2,goc_5y,mortgage_5y_posted,False,33.79200262400531,9.729617619833274,3.473106954904603,True,rejected
households,2,goc_5y,broker_5yr_vrm,False,,,,unsourced,untested
households,3,effective_household_rate,mortgage_funds_advanced_growth,True,1946.6157300459681,11.193733713913092,173.90227244966974,True,selected
households,3,effective_household_rate,resi_mortgage_credit_growth,False,7.870751645744163,11.193733713913092,0.7031390818205122,True,rejected
households,3,effective_household_rate,household_debt_service_ratio,False,,,,unsourced,rejected
general_banking,2,goc_5y,gic_5y,True,56.02943798170961,9.729617619833274,5.758647479372343,True,untested
general_banking,2,goc_5y,gic_1y,False,89.8147413934397,9.729617619833274,9.23106589619282,True,untested
general_banking,2,goc_5y,bank_funding_spread,False,47.11353582150222,9.729617619833274,4.842280309707541,True,untested
general_banking,3,gic_5y,lending_deposit_spread,True,33.803595529803886,11.023479714472153,3.0665086166417037,True,untested
general_banking,3,gic_5y,personal_term_deposits,False,,,,unsourced,rejected
general_banking,3,gic_5y,gic_tbill_spread,False,,,,unsourced,untested
central_governments,2,goc_2y,tbill_3m,True,115.37312474710242,5.408138868064675,21.33324005941977,True,selected
central_governments,2,goc_2y,tbill_auction_yield,False,117.8110048125982,12.808301637094631,9.198019233978771,True,untested
central_governments,2,goc_2y,goc_2y_5y_slope,False,42.38752198557397,5.408138868064675,7.83772810196764,True,rejected
central_governments,3,tbill_3m,tbill_outstanding_growth,True,876.4853005860667,7.2257698714859995,121.29991906396198,True,selected
central_governments,3,tbill_3m,goc_2y_5y_slope,False,42.38752198557397,2.472200660502935,17.145664048544834,True,rejected
central_governments,3,tbill_3m,goc_5y_10y_slope,False,27.1024626997999,2.472200660502935,10.962889514917563,True,rejected
central_governments,3,tbill_3m,public_debt_charges,False,,,,unsourced,unsourced
central_banks,2,goc_10y,corra_target_spread,True,2.1516298324315604,5.405260517798368,0.39806218874126476,False,untested
central_banks,2,goc_10y,boc_goc_holdings,False,,,,unsourced,rejected
central_banks,2,goc_10y,settlement_balances,False,,,,unsourced,unsourced
central_banks,3,corra_target_spread,boc_net_income,False,,,,unsourced,rejected
central_banks,3,corra_target_spread,interest_margin_on_reserves,False,,,,unsourced,unsourced
central_banks,3,corra_target_spread,repo_operation_volume,False,,,,unsourced,untested
nfcs,2,goc_2y,effective_business_rate,True,90.70576538155815,9.137922560695435,9.926300510764566,True,selected
nfcs,2,goc_2y,bankers_acceptance_rate,False,,,,unsourced,untested
nfcs,2,goc_2y,corporate_bond_spread,False,,,,unsourced,untested
nfcs,3,effective_business_rate,nfc_nonmortgage_growth,True,56.19692890295739,12.11164338509869,4.639909475216065,True,selected
nfcs,3,effective_business_rate,nfc_credit_flow,False,,,,incomparable,rejected
nfcs,3,effective_business_rate,nfc_credit_growth,False,45.379918209801545,12.11164338509869,3.746801054730012,True,rejected
nfcs,3,effective_business_rate,corporate_bond_issuance,False,,,,unsourced,untested
nfcs,4,nfc_nonmortgage_growth,business_insolvencies_growth,True,12.778922060970405,0.7199695558057593,17.74925336484371,True,selected
nfcs,4,nfc_nonmortgage_growth,business_insolvencies,False,,,,incomparable,unsourced
asset_managers,2,goc_10y,bond_etf_volume_growth,True,6866.261406038495,5.405260517798368,1270.2924092981946,True,selected
asset_managers,2,goc_10y,bond_fund_net_flows,False,,,,unsourced,unsourced
asset_managers,2,goc_10y,bond_fund_aum,False,,,,unsourced,rejected
asset_managers,2,goc_10y,etf_creation_redemption,False,,,,unsourced,untested
asset_managers,3,bond_etf_volume_growth,zag_xic_return_spread,True,0.79609037123473,113.31294316542646,0.00702559080186022,False,selected
asset_managers,3,bond_etf_volume_growth,bond_etf_volume_growth,False,68.66261406038495,113.31294316542646,0.6059556140920623,True,selected
asset_managers,3,bond_etf_volume_growth,bond_fund_aum,False,,,,unsourced,rejected
asset_managers,3,bond_etf_volume_growth,bond_etf_flow_rate,False,0.9699356928510164,16.427271346718125,0.05904423640294906,False,rejected
hedge_funds,2,goc_2y,cra_oi_growth,True,219.53672333783737,5.408138868064675,40.59376593197569,True,selected
hedge_funds,2,goc_2y,cra_open_interest_chg,False,,,,incomparable,rejected
hedge_funds,2,goc_2y,cra_volume,False,,,,incomparable,untested
hedge_funds,2,goc_2y,cgz_open_interest_chg,False,,,,incomparable,untested
hedge_funds,3,cra_oi_growth,cra_volume_growth,True,63.111724821652125,3.151467413955489,20.026139106556382,True,selected
hedge_funds,3,cra_oi_growth,corra_target_spread,False,0.021516298324315605,3.151467413955489,0.006827390386153458,False,untested
hedge_funds,3,cra_oi_growth,repo_volume,False,,,,unsourced,unsourced
hedge_funds,3,cra_oi_growth,cgb_cash_futures_basis,False,,,,unsourced,untested
banks,2,goc_2y,gic_1y,True,89.8147413934397,9.137922560695435,9.82879213485088,True,selected
banks,2,goc_2y,bank_funding_spread,False,47.11353582150222,9.137922560695435,5.1558256823218995,True,rejected
banks,2,goc_2y,effective_business_rate,False,90.70576538155815,9.137922560695435,9.926300510764566,True,untested
banks,3,gic_1y,lending_deposit_spread,True,33.803595529803886,20.732196964167095,1.630487863308891,True,selected
banks,3,gic_1y,bank_equity_return,False,37.29580822700871,20.732196964167095,1.7989317915255034,True,untested
banks,3,gic_1y,bank_credit_growth,False,,,,unsourced,rejected
banks,4,lending_deposit_spread,bank_equity_return,True,37.29580822700871,20.681416145486068,1.803348859896565,True,selected
