sector,n_edges,product,effect_1sd,se,ci_low,ci_high,status,n_edges_unc,product_unc,effect_1sd_unc,se_unc,ci_low_unc,ci_high_unc,status_unc
households,3,-0.29392413893219577,-1.3402940735308126,0.57175161564614,-2.460927240197247,-0.21966090686437822,ok,3,-0.2695807475131504,-1.229288208659966,0.43575086869892504,-2.083359911309859,-0.37521650601007284,ok
general_banking,3,-0.054894116013240145,-0.25031716902037504,1.450366064614078,-3.0930346556639674,2.5924003176232175,ok,3,-0.10204648543170024,-0.46533197356855305,2.4090572592307566,-5.187084201660836,4.25642025452373,ok
central_governments,3,0.16981588649765142,0.7743604424292904,0.3547695530171764,0.07901211851562462,1.469708766342956,ok,3,0.17613002780365086,0.8031529267846479,0.34869200228980796,0.11971660229662429,1.4865892512726715,ok
central_banks,1,0.4588811246373861,2.0924979283464804,1.4926501354858022,-0.8330963372056917,5.018092193898653,ok,1,0.8153277931671472,3.717894736842191,1.066863464541036,1.6268423463417605,5.808947127342622,ok
nfcs,4,-0.1370584964744857,-0.6249867439236547,0.32961648998362064,-1.271035064291551,0.02106157644424178,ok,4,-0.10776752926791196,-0.4914199334616785,0.2676051081530273,-1.015925945441612,0.03308607851825501,ok
asset_managers,1,,,,,,"broken_link: layer 2 missing, layer(s) [3] estimated beyond the gap and excluded from the chain",3,-7.883630081481391e-05,-0.0003594935317155514,0.00022852876827416112,-0.0008074099175329072,8.842285410180437e-05,ok
hedge_funds,2,0.03289505869307802,0.1500014676404358,0.07839534933105928,-0.0036534170484404105,0.303656352329312,ok,2,0.04341868064428903,0.19798918373795799,0.09791683671825771,0.006072183770172879,0.3899061837057431,ok
banks,4,-0.0001656810184540047,-0.0007555054441502613,0.004626837173750633,-0.009824106304701501,0.008313095416400977,ok,4,-1.848777366582139e-05,-8.430424791614554e-05,0.006870164186627445,-0.013549826053705938,0.013381217557873646,ok
