Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,14163.900390625,14400.2998046875,14112.7998046875,14347.2001953125,270319800,0.0,0.0
2019-01-03 00:00:00-05:00,14294.099609375,14297.900390625,14155.2998046875,14212.7998046875,211587200,0.0,0.0
2019-01-04 00:00:00-05:00,14351.599609375,14438.599609375,14314.7998046875,14426.599609375,231237200,0.0,0.0
2019-01-07 00:00:00-05:00,14471.0,14515.099609375,14383.099609375,14504.099609375,257832000,0.0,0.0
2019-01-08 00:00:00-05:00,14610.5,14645.599609375,14533.900390625,14605.2001953125,260100900,0.0,0.0
2019-01-09 00:00:00-05:00,14668.5,14811.099609375,14644.099609375,14804.7001953125,269093100,0.0,0.0
2019-01-10 00:00:00-05:00,14770.7001953125,14921.099609375,14702.2998046875,14903.5,262984000,0.0,0.0
2019-01-11 00:00:00-05:00,14874.2001953125,14956.2001953125,14855.2001953125,14939.2001953125,249299500,0.0,0.0
2019-01-14 00:00:00-05:00,14881.0,14997.900390625,14881.0,14975.5,228994500,0.0,0.0
2019-01-15 00:00:00-05:00,15002.0,15079.7998046875,14966.5,15046.2998046875,241300600,0.0,0.0
2019-01-16 00:00:00-05:00,15072.2998046875,15118.2998046875,15057.0,15111.2998046875,248816800,0.0,0.0
2019-01-17 00:00:00-05:00,15077.099609375,15238.099609375,15066.5,15211.2001953125,257298500,0.0,0.0
2019-01-18 00:00:00-05:00,15295.0,15325.599609375,15258.900390625,15303.7998046875,293702200,0.0,0.0
2019-01-21 00:00:00-05:00,15300.400390625,15354.2001953125,15263.0,15354.2001953125,92562500,0.0,0.0
2019-01-22 00:00:00-05:00,15276.2998046875,15285.2001953125,15160.5,15233.7998046875,228363300,0.0,0.0
2019-01-23 00:00:00-05:00,15275.7001953125,15293.2998046875,15141.5,15208.2998046875,210174500,0.0,0.0
2019-01-24 00:00:00-05:00,15201.5,15281.2998046875,15194.2998046875,15280.7998046875,206075300,0.0,0.0
2019-01-25 00:00:00-05:00,15350.2001953125,15388.0,15298.400390625,15366.099609375,216014400,0.0,0.0
2019-01-28 00:00:00-05:00,15289.099609375,15378.599609375,15276.900390625,15378.599609375,226010300,0.0,0.0
2019-01-29 00:00:00-05:00,15414.7001953125,15497.400390625,15413.900390625,15463.099609375,233364800,0.0,0.0
2019-01-30 00:00:00-05:00,15493.400390625,15520.900390625,15418.599609375,15484.599609375,233825500,0.0,0.0
2019-01-31 00:00:00-05:00,15507.400390625,15564.599609375,15486.5,15540.599609375,286422200,0.0,0.0
2019-02-01 00:00:00-05:00,15562.2998046875,15569.0,15483.400390625,15506.2998046875,224777300,0.0,0.0
2019-02-04 00:00:00-05:00,15527.400390625,15606.2998046875,15513.7001953125,15602.2998046875,245284400,0.0,0.0
2019-02-05 00:00:00-05:00,15631.7998046875,15702.7001953125,15627.7998046875,15702.7001953125,217732500,0.0,0.0
2019-02-06 00:00:00-05:00,15679.900390625,15745.400390625,15668.599609375,15712.2998046875,218136700,0.0,0.0
2019-02-07 00:00:00-05:00,15697.599609375,15726.5,15588.7001953125,15703.400390625,253785300,0.0,0.0
2019-02-08 00:00:00-05:00,15648.2998046875,15659.7998046875,15567.7998046875,15633.2998046875,211877800,0.0,0.0
2019-02-11 00:00:00-05:00,15660.5,15660.5,15545.900390625,15568.900390625,193012400,0.0,0.0
2019-02-12 00:00:00-05:00,15613.099609375,15654.7998046875,15583.400390625,15642.099609375,248558800,0.0,0.0
2019-02-13 00:00:00-05:00,15679.2001953125,15689.7001953125,15623.7001953125,15626.7001953125,236823500,0.0,0.0
2019-02-14 00:00:00-05:00,15622.2998046875,15733.099609375,15608.2001953125,15696.0,305833800,0.0,0.0
2019-02-15 00:00:00-05:00,15770.0,15866.599609375,15763.400390625,15838.2001953125,255717300,0.0,0.0
2019-02-19 00:00:00-05:00,15856.900390625,15953.900390625,15831.900390625,15937.400390625,336230800,0.0,0.0
2019-02-20 00:00:00-05:00,15942.900390625,16036.900390625,15942.900390625,16031.2001953125,268328500,0.0,0.0
2019-02-21 00:00:00-05:00,16001.900390625,16030.7001953125,15979.7001953125,16000.900390625,298529700,0.0,0.0
2019-02-22 00:00:00-05:00,16038.400390625,16071.0,15997.400390625,16013.0,222858800,0.0,0.0
2019-02-25 00:00:00-05:00,16051.0,16099.900390625,16051.0,16057.0,219234400,0.0,0.0
2019-02-26 00:00:00-05:00,16051.0,16115.7998046875,16051.0,16067.900390625,266318500,0.0,0.0
