Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02 00:00:00-05:00,18.433878902703277,18.68706909518646,18.335868605565683,18.621728897094727,262838,0.0,0.0,0.0
2019-01-03 00:00:00-05:00,18.580890307892183,18.580890307892183,18.37670527458651,18.43387794494629,164632,0.0,0.0,0.0
2019-01-04 00:00:00-05:00,18.589052956292317,18.74423434043206,18.580885434097556,18.736066818237305,658625,0.0,0.0,0.0
2019-01-07 00:00:00-05:00,18.834080369659652,18.842247893945782,18.670732959059137,18.82591438293457,469121,0.0,0.0,0.0
2019-01-08 00:00:00-05:00,18.956588858687212,19.013761520131673,18.874915165613086,18.964757919311523,133837,0.0,0.0,0.0
2019-01-09 00:00:00-05:00,19.046435984038965,19.23428598249417,19.01376588428635,19.226119995117188,283861,0.0,0.0,0.0
2019-01-10 00:00:00-05:00,19.193447213435032,19.381297185641674,19.095436927872306,19.3486270904541,309128,0.0,0.0,0.0
2019-01-11 00:00:00-05:00,19.34046146878199,19.422135170729504,19.29962384902774,19.397632598876953,243986,0.0,0.0,0.0
2019-01-14 00:00:00-05:00,19.364962866259503,19.487474190258943,19.356795342155472,19.446638107299805,349497,0.0,0.0,0.0
2019-01-15 00:00:00-05:00,19.479301319852045,19.58547910406281,19.45480029182554,19.544641494750977,409506,0.0,0.0,0.0
2019-01-16 00:00:00-05:00,19.585484060252412,19.626320142337395,19.560981488464833,19.618152618408203,267378,0.0,0.0,0.0
2019-01-17 00:00:00-05:00,19.58548150578242,19.7896665022591,19.56914646005456,19.748828887939453,140253,0.0,0.0,0.0
2019-01-18 00:00:00-05:00,19.8713488155925,19.904018921223905,19.822345194706845,19.887683868408203,208060,0.0,0.0,0.0
2019-01-21 00:00:00-05:00,19.912186447631754,19.912186447631754,19.830511183553245,19.887683868408203,86461,0.0,0.0,0.0
2019-01-22 00:00:00-05:00,19.84684196214867,19.863175472619954,19.69982806741911,19.78150177001953,605426,0.0,0.0,0.0
2019-01-23 00:00:00-05:00,19.855010002843628,19.879511037968637,19.683493531602338,19.765167236328125,164632,0.0,0.0,0.0
2019-01-24 00:00:00-05:00,19.77333511525912,19.863176345825195,19.75700006650873,19.863176345825195,317617,0.0,0.0,0.0
2019-01-25 00:00:00-05:00,19.94485675319015,19.993861915906322,19.8876856009162,19.953025817871094,241618,0.0,0.0,0.0
2019-01-28 00:00:00-05:00,19.846842419507357,19.993854780063735,19.838673357741968,19.985687255859375,295113,0.0,0.0,0.0
2019-01-29 00:00:00-05:00,20.051024367154756,20.140865582030838,20.026521798308334,20.13269805908203,189899,0.0,0.0,0.0
2019-01-30 00:00:00-05:00,20.157202794892328,20.173537842546015,20.042858998877502,20.12453269958496,208553,0.0,0.0,0.0
2019-01-31 00:00:00-05:00,20.157201622268392,20.247042841576274,20.157201622268392,20.22254180908203,213587,0.0,0.0,0.0
2019-02-01 00:00:00-05:00,20.23071672843663,20.255219309311695,20.14087546945627,20.181713104248047,117058,0.0,0.0,0.0
2019-02-04 00:00:00-05:00,20.189873101807926,20.30421689902118,20.173538053983034,20.28788185119629,135614,0.0,0.0,0.0
2019-02-05 00:00:00-05:00,20.336884429466025,20.41855812072754,20.328716906583793,20.41855812072754,218028,0.0,0.0,0.0
2019-02-06 00:00:00-05:00,20.39405884810501,20.483900076768617,20.377723799700533,20.43489646911621,307352,0.0,0.0,0.0
2019-02-07 00:00:00-05:00,20.402224724294378,20.451228327988463,20.27154588517531,20.426727294921875,175883,0.0,0.0,0.0
2019-02-08 00:00:00-05:00,20.36138802214951,20.36138802214951,20.24704269604751,20.336885452270508,171738,0.0,0.0,0.0
2019-02-11 00:00:00-05:00,20.361394695241735,20.361394695241735,20.23071427972551,20.24704933166504,376837,0.0,0.0,0.0
2019-02-12 00:00:00-05:00,20.32055168525526,20.361389304291777,20.271546542411443,20.34505271911621,78170,0.0,0.0,0.0
2019-02-13 00:00:00-05:00,20.39405492155314,20.418557489442275,20.328716278076172,20.328716278076172,132554,0.0,0.0,0.0
2019-02-14 00:00:00-05:00,20.336887716250367,20.483900076768617,20.336887716250367,20.43489646911621,408026,0.0,0.0,0.0
2019-02-15 00:00:00-05:00,20.516569241670688,20.655415609241025,20.516569241670688,20.622745513916016,119230,0.0,0.0,0.0
2019-02-19 00:00:00-05:00,20.630916680807548,20.769763072895742,20.606414104987063,20.737092971801758,299061,0.0,0.0,0.0
2019-02-20 00:00:00-05:00,20.753423542399556,20.875936395055685,20.745256018889147,20.867767333984375,226813,0.0,0.0,0.0
2019-02-21 00:00:00-05:00,20.826930487027997,20.867766565515325,20.802427917399093,20.843265533447266,286526,0.0,0.0,0.0
2019-02-22 00:00:00-05:00,20.88410289513889,20.924940513696292,20.82693176671947,20.85143280029297,250698,0.0,0.0,0.0
2019-02-25 00:00:00-05:00,20.89226836633136,20.957608549603986,20.89226836633136,20.916770935058594,241322,0.0,0.0,0.0
2019-02-26 00:00:00-05:00,20.892271919409158,20.982114686688274,20.892271919409158,20.924942016601562,196018,0.0,0.0,0.0
2019-02-27 00:00:00-05:00,20.90043892980658,20.949444074390247,20.835100274589365,20.94127655029297,227405,0.0,0.0,0.0
2019-02-28 00:00:00-05:00,20.884102637971385,20.933107779636817,20.818763986645067,20.859600067138672,261358,0.0,0.0,0.0
2019-03-01 00:00:00-05:00,20.957611598487524,21.014782729607457,20.93310902619569,20.94127655029297,310214,0.0,0.0,0.0
2019-03-04 00:00:00-05:00,20.990278641240298,20.990278641240298,20.80242715189229,20.916770935058594,337949,0.0,0.0,0.0
2019-03-05 00:00:00-05:00,20.94944469451394,20.99028231620916,20.94944469451394,20.982114791870117,221976,0.0,0.0,0.0
2019-03-06 00:00:00-05:00,20.99028231620916,21.04745344902142,20.96577820563097,20.982114791870117,264319,0.0,0.0,0.0
2019-03-07 00:00:00-05:00,20.949450058353634,20.97395110008289,20.843273752322023,20.933115005493164,250599,0.0,0.0,0.0
2019-03-08 00:00:00-05:00,20.810596206972416,20.867767333984375,20.728922509429232,20.867767333984375,365387,0.0,0.0,0.0
2019-03-11 00:00:00-04:00,20.851433013564872,21.047452047084374,20.851433013564872,21.014781951904297,241124,0.0,0.0,0.0
2019-03-12 00:00:00-04:00,21.055624266949643,21.06379179256628,21.00661911324983,21.047456741333008,199966,0.0,0.0,0.0
2019-03-13 00:00:00-04:00,21.120957704641455,21.161795322612985,21.06378657704223,21.080120086669922,202434,0.0,0.0,0.0
2019-03-14 00:00:00-04:00,21.08828992400782,21.08828992400782,20.99844716116367,21.006614685058594,416514,0.0,0.0,0.0
2019-03-15 00:00:00-04:00,21.1127888977527,21.12095642085056,21.055617773628498,21.07195281982422,154169,0.0,0.0,0.0
2019-03-18 00:00:00-04:00,21.09645929331069,21.227136611938477,21.088291768701318,21.227136611938477,323440,0.0,0.0,0.0
2019-03-19 00:00:00-04:00,21.243472068903436,21.259805579692394,21.13729425462853,21.153629302978516,367460,0.0,0.0,0.0
2019-03-20 00:00:00-04:00,21.129125595092773,21.169963213773354,21.039284371556445,21.129125595092773,228787,0.0,0.0,0.0
2019-03-21 00:00:00-04:00,21.088291768701318,21.243473198718334,21.080122706530833,21.227136611938477,187629,0.0,0.0,0.0
2019-03-22 00:00:00-04:00,21.129123572244886,21.145458618153242,20.96577465072212,21.022947311401367,348905,0.0,0.0,0.0
2019-03-25 00:00:00-04:00,20.990558624267578,21.039908519684385,20.924756699143405,20.990558624267578,383252,0.183,0.0,0.0
2019-03-26 00:00:00-04:00,21.08926240743761,21.14683755016698,21.056361441062823,21.105712890625,301923,0.0,0.0,0.0
2019-03-27 00:00:00-04:00,21.097488760138262,21.146838663872966,21.015236339869443,21.072813034057617,749725,0.0,0.0,0.0
2019-03-28 00:00:00-04:00,21.048133195227145,21.146834531837158,21.048133195227145,21.13861083984375,468529,0.0,0.0,0.0
2019-03-29 00:00:00-04:00,21.17973655527774,21.17973655527774,21.03168376872754,21.064584732055664,133936,0.0,0.0,0.0
2019-04-01 00:00:00-04:00,21.17151268845542,21.229087829589844,21.138613271418517,21.229087829589844,1226545,0.0,0.0,0.0
2019-04-02 00:00:00-04:00,21.253762844840686,21.278438568115234,21.204412946718,21.278438568115234,84981,0.0,0.0,0.0
2019-04-03 00:00:00-04:00,21.311338023743026,21.377138399390404,21.253761340178563,21.29488754272461,165816,0.0,0.0,0.0
2019-04-04 00:00:00-04:00,21.28666920840005,21.34424591064453,21.270218722044483,21.34424591064453,60108,0.0,0.0,0.0
2019-04-05 00:00:00-04:00,21.385363076253842,21.44293975830078,21.368912595669002,21.44293975830078,117453,0.0,0.0,0.0
