date,type,time_et,mpr,decision_bps,source_url,release_year,notes
2020-01-22,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-03-04,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-03-13,emergency,,FALSE,-50,https://www.bankofcanada.ca/2020/03/bank-of-canada-lowers-overnight-rate-target-to-%C2%BE-percent/,,unscheduled COVID cut; -50bp to 0.75%; effective Mon 2020-03-16
2020-03-27,emergency,,FALSE,-50,https://www.bankofcanada.ca/2020/03/press-release-2020-03-27/,,unscheduled COVID cut; -50bp to 0.25% (effective lower bound)
2020-04-15,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-06-03,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-07-15,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-09-09,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-10-28,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2020-12-09,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019,
2021-01-20,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-03-10,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-04-21,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-06-09,scheduled,10:00,FALSE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
2021-07-14,scheduled,10:00,TRUE,,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020,
