date,type,time_et,mpr,source_url,release_year,notes,decision_bps.1,note,decision_bps,decision_note,fomc_same_day
2020-01-22,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-03-04,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-03-13,emergency,,False,https://www.bankofcanada.ca/2020/03/bank-of-canada-lowers-overnight-rate-target-to-%C2%BE-percent/,,unscheduled COVID cut; -50bp to 0.75%; effective Mon 2020-03-16,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-03-27,emergency,,False,https://www.bankofcanada.ca/2020/03/press-release-2020-03-27/,,unscheduled COVID cut; -50bp to 0.25% (effective lower bound),,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-04-15,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-06-03,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-07-15,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-09-09,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-10-28,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2020-12-09,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2019.0,,,pre-2021 regime not implemented,,pre-2021 regime not implemented,False
2021-01-20,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-03-10,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-04-21,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-06-09,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-07-14,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-09-08,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-10-27,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2021-12-08,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2020.0,,0.0,,0.0,,False
2022-01-26,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021.0,,0.0,,0.0,,True
2022-03-02,scheduled,10:00,False,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021.0,,25.0,,25.0,,False
2022-04-13,scheduled,10:00,True,https://www.bankofcanada.ca/press/press-releases/?mtf_search=schedule%20for%20policy%20interest%20rate%20announcements,2021.0,,50.0,,50.0,,False
