date,consumer_insolvencies_growth
2020-02-01,2.012875147338833
2020-03-01,-2.701982046040352
2020-04-01,-38.79601717365488
2020-05-01,-8.791044776119406
2020-06-01,3.8946162657502947
2020-07-01,3.7171208064262107
2020-08-01,-1.83750949126803
2020-09-01,18.471534653465337
2020-10-01,6.2287803604074155
2020-11-01,-2.6551936078672456
2020-12-01,-7.690364945068817
2021-01-01,-3.064295485636115
2021-02-01,6.040079029071399
2021-03-01,22.75751929731169
2021-04-01,-13.226366001734602
2021-05-01,-7.083958020989501
2021-06-01,0.14790910313298156
2021-07-01,-11.33190118152524
2021-08-01,6.178073894609337
2021-09-01,6.91671420422133
2021-10-01,-1.0404161664665845
2021-11-01,9.206092465291826
2021-12-01,-16.74895087632683
2022-01-01,-2.6538176426982973
2022-02-01,12.579957356076754
2022-03-01,24.391233766233753
2022-04-01,-13.496465470364328
2022-05-01,5.921548906210705
2022-06-01,5.721068249258154
2022-07-01,-12.181430335691035
2022-08-01,13.551521350038342
2022-09-01,3.0848907903625378
2022-10-01,-3.735255570117957
2022-11-01,6.909462219196727
2022-12-01,-18.836888464395628
2023-01-01,14.212866108786603
2023-02-01,5.575271894676592
2023-03-01,27.60789416612448
2023-04-01,-18.28687967369137
2023-05-01,13.987104825291174
2023-06-01,-2.8647021257184546
2023-07-01,-10.94204940358786
2023-08-01,10.30373338958026
2023-09-01,0.6788411894062429
2023-10-01,5.327635327635338
2023-11-01,5.328644847173392
2023-12-01,-22.615990412600585
2024-01-01,19.336283185840706
2024-02-01,6.989247311827951
2024-03-01,0.11263212614798235
2024-04-01,2.0424058848983018
2024-05-01,3.426342125349846
2024-06-01,-9.011890118901189
2024-07-01,5.8759913482336
2024-08-01,-3.064351378958119
2024-09-01,0.5619950825430209
2024-10-01,11.098498078938167
2024-11-01,-7.844061935078206
2024-12-01,-20.75053304904051
2025-01-01,20.490744726646582
2025-02-01,-2.6170060735977163
2025-03-01,11.217096212051736
2025-04-01,-3.958436417615041
2025-05-01,3.074016829812809
2025-06-01,-4.498500499833391
2025-07-01,7.161549197487793
2025-08-01,-7.9934879934879906
2025-09-01,12.07643988321685
2025-10-01,-0.0473634354278496
2025-11-01,-8.79797820249566
2025-12-01,-7.758919293384137
2026-01-01,7.097258730754796
2026-02-01,7.880434782608692
2026-03-01,8.929877305598444
