date,equity_index
2019-01-02,18.621723175048828
2019-01-03,18.43387794494629
2019-01-04,18.736068725585938
2019-01-07,18.825912475585938
2019-01-08,18.964754104614258
2019-01-09,19.226118087768555
2019-01-10,19.3486270904541
2019-01-11,19.39763069152832
2019-01-14,19.446638107299805
2019-01-15,19.544641494750977
2019-01-16,19.61815071105957
2019-01-17,19.748830795288086
2019-01-18,19.88767433166504
2019-01-21,19.88767433166504
2019-01-22,19.78150749206543
2019-01-23,19.765167236328125
2019-01-24,19.863178253173828
2019-01-25,19.953020095825195
2019-01-28,19.98568344116211
2019-01-29,20.132699966430664
2019-01-30,20.124528884887695
2019-01-31,20.222537994384766
2019-02-01,20.18170738220215
2019-02-04,20.287878036499023
2019-02-05,20.418561935424805
2019-02-06,20.434892654418945
2019-02-07,20.426729202270508
2019-02-08,20.33688735961914
2019-02-11,20.247047424316406
2019-02-12,20.345054626464844
2019-02-13,20.328725814819336
2019-02-14,20.434892654418945
2019-02-15,20.62274169921875
2019-02-19,20.737085342407227
2019-02-20,20.86776351928711
2019-02-21,20.8432674407959
2019-02-22,20.8514347076416
2019-02-25,20.916770935058594
2019-02-26,20.924945831298828
2019-02-27,20.941274642944336
2019-02-28,20.859596252441406
2019-03-01,20.941274642944336
2019-03-04,20.916770935058594
2019-03-05,20.98211669921875
2019-03-06,20.98211669921875
2019-03-07,20.9331111907959
2019-03-08,20.86776351928711
2019-03-11,21.01478385925293
2019-03-12,21.047452926635742
2019-03-13,21.080121994018555
2019-03-14,21.00661277770996
2019-03-15,21.07196044921875
2019-03-18,21.227136611938477
2019-03-19,21.153629302978516
2019-03-20,21.129131317138672
2019-03-21,21.227136611938477
2019-03-22,21.02294921875
2019-03-25,20.99056053161621
2019-03-26,21.105714797973633
2019-03-27,21.072813034057617
2019-03-28,21.138614654541016
2019-03-29,21.0645809173584
2019-04-01,21.229087829589844
2019-04-02,21.2784423828125
2019-04-03,21.294893264770508
2019-04-04,21.344242095947266
2019-04-05,21.44294548034668
2019-04-08,21.467620849609375
2019-04-09,21.39359474182129
2019-04-10,21.467620849609375
2019-04-11,21.48406982421875
2019-04-12,21.574548721313477
2019-04-15,21.6238956451416
2019-04-16,21.60744857788086
2019-04-17,21.66501808166504
2019-04-18,21.739051818847656
2019-04-22,21.706144332885742
2019-04-23,21.829526901245117
2019-04-24,21.730823516845703
2019-04-25,21.71436882019043
2019-04-26,21.77195167541504
2019-04-29,21.76372528076172
2019-04-30,21.730823516845703
2019-05-01,21.6238956451416
2019-05-02,21.508745193481445
2019-05-03,21.632118225097656
2019-05-06,21.615671157836914
2019-05-07,21.451173782348633
2019-05-08,21.508745193481445
2019-05-09,21.40181541442871
2019-05-10,21.368919372558594
2019-05-13,21.237314224243164
2019-05-14,21.377140045166016
2019-05-15,21.426490783691406
2019-05-16,21.574548721313477
2019-05-17,21.53342056274414
2019-05-21,21.590993881225586
2019-05-22,21.44294548034668
2019-05-23,21.212642669677734
2019-05-24,21.319568634033203
2019-05-27,21.451173782348633
2019-05-28,21.352462768554688
2019-05-29,21.17974090576172
2019-05-30,21.138614654541016
2019-05-31,21.089263916015625
2019-06-03,21.031686782836914
2019-06-04,21.237314224243164
2019-06-05,21.303110122680664
2019-06-06,21.33601951599121
2019-06-07,21.38536834716797
2019-06-10,21.32779312133789
2019-06-11,21.377140045166016
2019-06-12,21.344242095947266
2019-06-13,21.368919372558594
2019-06-14,21.467620849609375
2019-06-17,21.52519416809082
2019-06-18,21.730823516845703
2019-06-19,21.733470916748047
2019-06-20,21.816390991210938
2019-06-21,21.733470916748047
2019-06-24,21.758346557617188
2019-06-25,21.567630767822266
2019-06-26,21.48470687866211
2019-06-27,21.501296997070312
2019-06-28,21.592504501342773
2019-07-02,21.708595275878906
2019-07-03,21.857845306396484
2019-07-04,21.874433517456055
2019-07-05,21.816390991210938
2019-07-08,21.725173950195312
2019-07-09,21.824684143066406
2019-07-10,21.857845306396484
2019-07-11,21.824684143066406
2019-07-12,21.766637802124023
2019-07-15,21.79151725769043
2019-07-16,21.774930953979492
2019-07-17,21.75005531311035
2019-07-18,21.774930953979492
2019-07-19,21.758346557617188
2019-07-22,21.7998046875
2019-07-23,21.874433517456055
2019-07-24,21.940773010253906
2019-07-25,21.766637802124023
2019-07-26,21.832975387573242
2019-07-29,21.783220291137695
2019-07-30,21.758346557617188
2019-07-31,21.67542266845703
2019-08-01,21.65054702758789
2019-08-02,21.501296997070312
2019-08-06,21.335451126098633
2019-08-07,21.49300193786621
2019-08-08,21.667131423950195
2019-08-09,21.584213256835938
2019-08-12,21.4598331451416
2019-08-13,21.60079574584961
2019-08-14,21.219356536865234
2019-08-15,21.177902221679688
2019-08-16,21.360328674316406
2019-08-19,21.567630767822266
2019-08-20,21.4515438079834
2019-08-21,21.551044464111328
2019-08-22,21.501296997070312
2019-08-23,21.2276611328125
2019-08-26,21.327159881591797
2019-08-27,21.418371200561523
2019-08-28,21.534461975097656
2019-08-29,21.70030403137207
2019-08-30,21.774930953979492
2019-09-03,21.708595275878906
2019-09-04,21.79151725769043
2019-09-05,21.957355499267578
2019-09-06,21.90760040283203
2019-09-09,21.874433517456055
2019-09-10,21.92418670654297
2019-09-11,22.015399932861328
2019-09-12,22.073448181152344
2019-09-13,22.148075103759766
2019-09-16,22.206117630004883
2019-09-17,22.322206497192383
2019-09-18,22.29732894897461
2019-09-19,22.371959686279297
2019-09-20,22.405128479003906
2019-09-23,22.38025665283203
2019-09-24,22.27672576904297
2019-09-25,22.27672576904297
2019-09-26,22.27672576904297
2019-09-27,22.168058395385742
2019-09-30,22.142980575561523
2019-10-01,21.858774185180664
2019-10-02,21.69995880126953
2019-10-03,21.766822814941406
2019-10-04,21.86713409423828
2019-10-07,21.816978454589844
2019-10-08,21.658159255981445
2019-10-09,21.783546447753906
2019-10-10,21.850418090820312
2019-10-11,21.816978454589844
2019-10-15,21.833702087402344
2019-10-16,21.842058181762695
2019-10-17,21.850418090820312
2019-10-18,21.783546447753906
2019-10-21,21.833702087402344
2019-10-22,21.816978454589844
2019-10-23,21.74175262451172
2019-10-24,21.79191017150879
2019-10-25,21.842058181762695
2019-10-28,21.808626174926758
2019-10-29,21.858774185180664
2019-10-30,21.984161376953125
2019-10-31,21.950729370117188
2019-11-01,22.101184844970703
2019-11-04,22.184778213500977
2019-11-05,22.209854125976562
2019-11-06,22.293445587158203
2019-11-07,22.377033233642578
2019-11-08,22.46898078918457
2019-11-11,22.477346420288086
2019-11-12,22.527494430541992
2019-11-13,22.594369888305664
2019-11-14,22.627803802490234
2019-11-15,22.694679260253906
2019-11-18,22.686317443847656
2019-11-19,22.677955627441406
2019-11-20,22.677955627441406
2019-11-21,22.669597625732422
2019-11-22,22.602725982666016
2019-11-25,22.719757080078125
2019-11-26,22.728116989135742
2019-11-27,22.811702728271484
2019-11-28,22.86185646057129
2019-11-29,22.761545181274414
2019-12-02,22.661237716674805
2019-12-03,22.569293975830078
2019-12-04,22.552574157714844
2019-12-05,22.510774612426758
2019-12-06,22.694679260253906
2019-12-09,22.644521713256836
2019-12-10,22.644521713256836
2019-12-11,22.644521713256836
2019-12-12,22.661237716674805
2019-12-13,22.719757080078125
2019-12-16,22.803348541259766
2019-12-17,22.828418731689453
2019-12-18,22.77826690673828
2019-12-19,22.811702728271484
2019-12-20,22.87021255493164
2019-12-23,22.895294189453125
2019-12-24,22.978885650634766
2019-12-27,22.95380401611328
2019-12-30,22.89185333251953
2019-12-31,22.84133529663086
2020-01-02,22.89185333251953
2020-01-03,22.84133529663086
2020-01-06,22.908689498901367
2020-01-07,22.99287986755371
2020-01-08,22.99287986755371
2020-01-09,23.10232925415039
2020-01-10,23.119171142578125
2020-01-13,23.186525344848633
2020-01-14,23.262296676635742
2020-01-15,23.338071823120117
2020-01-16,23.430681228637695
2020-01-17,23.531707763671875
2020-01-20,23.58222770690918
2020-01-21,23.565387725830078
2020-01-22,23.590648651123047
2020-01-23,23.62432289123535
2020-01-24,23.556968688964844
2020-01-27,23.397001266479492
2020-01-28,23.48119354248047
2020-01-29,23.489612579345703
2020-01-30,23.48119354248047
2020-01-31,23.25387954711914
2020-02-03,23.31281280517578
2020-02-04,23.49803352355957
2020-02-05,23.691675186157227
2020-02-06,23.809545516967773
2020-02-07,23.683256149291992
2020-02-10,23.809545516967773
2020-02-11,23.86005973815918
2020-02-12,23.93583106994629
2020-02-13,23.91899871826172
2020-02-14,23.977930068969727
2020-02-18,24.003189086914062
2020-02-19,24.078962326049805
2020-02-20,24.095796585083008
2020-02-21,23.977930068969727
2020-02-24,23.590648651123047
2020-02-25,23.07707405090332
2020-02-26,22.89185333251953
2020-02-27,22.51298713684082
2020-02-28,21.89838218688965
2020-03-02,22.268829345703125
2020-03-03,22.075180053710938
2020-03-04,22.580337524414062
2020-03-05,22.260406494140625
2020-03-06,21.780515670776367
2020-03-09,19.515745162963867
2020-03-10,20.13876724243164
2020-03-11,19.195810317993164
2020-03-12,16.87211036682129
2020-03-13,18.438085556030273
2020-03-16,16.653209686279297
2020-03-17,17.10784149169922
2020-03-18,15.929158210754395
2020-03-19,16.417469024658203
2020-03-20,16.013351440429688
2020-03-23,15.129329681396484
2020-03-24,16.94788932800293
2020-03-25,17.658618927001953
2020-03-26,18.033077239990234
2020-03-27,17.122486114501953
2020-03-30,17.616077423095703
2020-03-31,18.024564743041992
2020-04-01,17.428848266601562
2020-04-02,17.709684371948242
2020-04-03,17.522464752197266
2020-04-06,18.381996154785156
2020-04-07,18.416030883789062
2020-04-08,18.850051879882812
2020-04-09,19.190460205078125
2020-04-13,19.05429458618164
2020-04-14,19.301090240478516
2020-04-15,18.918128967285156
2020-04-16,18.798986434936523
2020-04-17,19.4372501373291
2020-04-20,19.471294403076172
2020-04-21,18.884090423583984
2020-04-22,19.36066246032715
2020-04-23,19.309602737426758
2020-04-24,19.53086280822754
2020-04-27,19.828720092773438
2020-04-28,20.032968521118164
2020-04-29,20.628681182861328
2020-04-30,20.04998779296875
2020-05-01,19.81169891357422
2020-05-04,19.95637321472168
2020-05-05,20.075511932373047
2020-05-06,20.10956382751465
2020-05-07,20.10956382751465
2020-05-08,20.296781539916992
2020-05-11,20.484004974365234
2020-05-12,20.152109146118164
2020-05-13,19.650009155273438
2020-05-14,19.692556381225586
2020-05-15,19.871273040771484
2020-05-19,20.203168869018555
2020-05-20,20.356353759765625
2020-05-21,20.220191955566406
2020-05-22,20.237207412719727
2020-05-25,20.484004974365234
2020-05-26,20.569108963012695
2020-05-27,20.73931121826172
2020-05-28,20.73931121826172
2020-05-29,20.603145599365234
2020-06-01,20.70526695251465
2020-06-02,20.926532745361328
2020-06-03,21.17333221435547
2020-06-04,21.113759994506836
2020-06-05,21.564794540405273
2020-06-08,21.72649383544922
2020-06-09,21.53927230834961
2020-06-10,21.360553741455078
2020-06-11,20.47549057006836
2020-06-12,20.7818603515625
2020-06-15,20.9010009765625
2020-06-16,21.130781173706055
2020-06-17,21.011632919311523
2020-06-18,21.079715728759766
2020-06-19,21.045677185058594
2020-06-22,21.130781173706055
2020-06-23,21.224390029907227
2020-06-24,20.80902862548828
2020-06-25,21.040813446044922
2020-06-26,20.671676635742188
2020-06-29,20.989309310913086
2020-06-30,21.152414321899414
2020-07-02,21.28118133544922
2020-07-03,21.238256454467773
2020-07-06,21.375612258911133
2020-07-07,21.272592544555664
2020-07-08,21.31551742553711
2020-07-09,21.246837615966797
2020-07-10,21.4528751373291
2020-07-13,21.341276168823242
2020-07-14,21.718996047973633
2020-07-15,21.916439056396484
2020-07-16,21.86493492126465
2020-07-17,22.019453048706055
2020-07-20,22.088136672973633
2020-07-21,22.062379837036133
2020-07-22,22.079545974731445
2020-07-23,21.873519897460938
2020-07-24,21.83917808532715
2020-07-27,22.07096290588379
2020-07-28,22.028039932250977
2020-07-29,22.259822845458984
2020-07-30,22.268409729003906
2020-07-31,22.079545974731445
2020-08-04,22.362838745117188
2020-08-05,22.543115615844727
2020-08-06,22.65471076965332
2020-08-07,22.61178970336914
2020-08-10,22.68046760559082
2020-08-11,22.543115615844727
2020-08-12,22.66330337524414
2020-08-13,22.60321044921875
2020-08-14,22.60321044921875
2020-08-17,22.78348159790039
2020-08-18,22.740556716918945
2020-08-19,22.68046760559082
2020-08-20,22.723390579223633
2020-08-21,22.594623565673828
2020-08-24,22.740556716918945
2020-08-25,22.749141693115234
2020-08-26,22.97234344482422
2020-08-27,22.895082473754883
2020-08-28,22.87791633605957
2020-08-31,22.586036682128906
2020-09-01,22.792068481445312
2020-09-02,22.869327545166016
2020-09-03,22.525943756103516
2020-09-04,22.216903686523438
2020-09-08,22.04520606994629
2020-09-09,22.44868278503418
2020-09-10,22.182559967041016
2020-09-11,22.234066009521484
2020-09-14,22.440099716186523
2020-09-15,22.517362594604492
2020-09-16,22.345672607421875
2020-09-17,22.28557777404785
2020-09-18,22.20831298828125
2020-09-21,21.933605194091797
2020-09-22,22.139638900756836
2020-09-23,21.718996047973633
2020-09-24,21.82049560546875
2020-09-25,22.045541763305664
2020-09-28,22.28789520263672
2020-09-29,22.253273010253906
2020-09-30,22.14075469970703
2020-10-01,22.235965728759766
2020-10-02,22.244617462158203
2020-10-05,22.54755973815918
2020-10-06,22.305206298828125
2020-10-07,22.57352066040039
2020-10-08,22.729326248168945
2020-10-09,22.772600173950195
2020-10-13,22.703357696533203
2020-10-14,22.616802215576172
2020-10-15,22.686046600341797
2020-10-16,22.60814666748047
2020-10-19,22.391756057739258
2020-10-20,22.36579132080078
2020-10-21,22.313861846923828
2020-10-22,22.383102416992188
2020-10-23,22.452348709106445
2020-10-26,22.12343978881836
2020-10-27,22.05419921875
2020-10-28,21.44830894470215
2020-10-29,21.578142166137695
2020-10-30,21.465621948242188
2020-11-02,21.61276626586914
2020-11-03,21.9589900970459
2020-11-04,22.028230667114258
2020-11-05,22.435039520263672
2020-11-06,22.435039520263672
2020-11-09,22.677392959594727
2020-11-10,22.885122299194336
2020-11-11,23.10150718688965
2020-11-12,22.850505828857422
2020-11-13,22.98899269104004
2020-11-16,23.283279418945312
2020-11-17,23.352519989013672
2020-11-18,23.27461814880371
2020-11-19,23.317901611328125
2020-11-20,23.46504020690918
2020-11-23,23.560251235961914
2020-11-24,23.819915771484375
2020-11-25,23.889156341552734
2020-11-26,23.93244171142578
2020-11-27,24.01033592224121
2020-11-30,23.77663803100586
2020-12-01,23.86319351196289
2020-12-02,23.958404541015625
2020-12-03,24.01033592224121
2020-12-04,24.183448791503906
2020-12-07,24.261348724365234
2020-12-08,24.35655403137207
2020-12-09,24.261348724365234
2020-12-10,24.304628372192383
2020-12-11,24.235376358032227
2020-12-14,24.018993377685547
2020-12-15,24.200761795043945
2020-12-16,24.26999855041504
2020-12-17,24.399829864501953
2020-12-18,24.209415435791016
2020-12-21,24.192100524902344
2020-12-22,24.2526912689209
2020-12-23,24.304628372192383
2020-12-24,24.365215301513672
2020-12-29,24.2526912689209
2020-12-30,24.29582977294922
2020-12-31,24.11282730102539
2021-01-04,24.25225830078125
2021-01-05,24.496265411376953
2021-01-06,24.679262161254883
2021-01-07,24.966840744018555
2021-01-08,24.97555160522461
2021-01-11,24.844837188720703
2021-01-12,24.897125244140625
2021-01-13,24.862268447875977
2021-01-14,24.870981216430664
2021-01-15,24.809978485107422
2021-01-18,24.879697799682617
2021-01-19,24.888410568237305
2021-01-20,24.966840744018555
2021-01-21,24.836122512817383
2021-01-22,24.740264892578125
2021-01-25,24.836122512817383
2021-01-26,24.670551300048828
2021-01-27,24.182544708251953
2021-01-28,24.487546920776367
2021-01-29,24.095401763916016
2021-02-01,24.565975189208984
2021-02-02,24.818695068359375
2021-02-03,24.870981216430664
2021-02-04,25.045272827148438
2021-02-05,25.175987243652344
2021-02-08,25.446138381958008
2021-02-09,25.541994094848633
2021-02-10,25.611711502075195
2021-02-11,25.533279418945312
2021-02-12,25.629138946533203
2021-02-16,25.68142318725586
2021-02-17,25.524564743041992
2021-02-18,25.376415252685547
2021-02-19,25.541994094848633
2021-02-22,25.594284057617188
2021-02-23,25.463563919067383
2021-02-24,25.68142318725586
2021-02-25,25.31542205810547
2021-02-26,25.062698364257812
2021-03-01,25.454849243164062
2021-03-02,25.594284057617188
2021-03-03,25.463563919067383
2021-03-04,25.210847854614258
2021-03-05,25.568140029907227
2021-03-08,25.663997650146484
2021-03-09,25.855710983276367
2021-03-10,26.003860473632812
2021-03-11,26.213008880615234
