date,equity_return_pct
2019-01-03,-1.0087424688722257
2019-01-04,1.639322889856154
2019-01-07,0.4795229528450129
2019-01-08,0.7375027861644234
2019-01-09,1.3781564565116255
2019-01-10,0.6372009270216861
2019-01-11,0.2532665539788814
2019-01-14,0.2526464007425844
2019-01-15,0.5039605658850865
2019-01-16,0.37610931020830574
2019-01-17,0.6661182603457494
2019-01-18,0.7030468680205626
2019-01-21,0.0
2019-01-22,-0.5338323517826926
2019-01-23,-0.0826036930899221
2019-01-24,0.4958774983981007
2019-01-25,0.45230346073650285
2019-01-28,0.1637012601603427
2019-01-29,0.7356091959595634
2019-01-30,-0.04058611888416719
2019-01-31,0.4870131870300387
2019-02-01,-0.2019064678921878
2019-02-04,0.526073697761098
2019-02-05,0.644147695932884
2019-02-06,0.07997977059202022
2019-02-07,-0.03994859325415767
2019-02-08,-0.43982490667855423
2019-02-11,-0.44175853322135916
2019-02-12,0.4840567619293079
2019-02-13,-0.08025936496758312
2019-02-14,0.5222503395771794
2019-02-15,0.9192563326687386
2019-02-19,0.5544541305718242
2019-02-20,0.6301665577497895
2019-02-21,-0.11738717696589962
2019-02-22,0.03918419637851667
2019-02-25,0.313341639714837
2019-02-26,0.039082974449611285
2019-02-27,0.0780351441631133
2019-02-28,-0.3900354295312658
2019-03-01,0.39156266264439576
2019-03-04,-0.1170115396676552
2019-03-05,0.312408470518899
2019-03-06,0.0
2019-03-07,-0.23355845897414795
2019-03-08,-0.3121737180544981
2019-03-11,0.7045332856582265
2019-03-12,0.15545754646639764
2019-03-13,0.15521625109073955
2019-03-14,-0.34871342931246385
2019-03-15,0.3110814304061904
2019-03-18,0.7364106585796115
2019-03-19,-0.3462893290968827
2019-03-20,-0.11580984751583534
2019-03-21,0.4638396786351029
2019-03-22,-0.9619167998082157
2019-03-25,-0.15406347985135183
2019-03-26,0.548600244304942
2019-03-27,-0.1558903085299601
2019-03-28,0.3122583604621365
2019-03-29,-0.3502298442566776
2019-04-01,0.7809645626316808
2019-04-02,0.23248551053551836
2019-04-03,0.0773124351023835
2019-04-04,0.23174021378356002
2019-04-05,0.46243564871368825
2019-04-08,0.1150745324858038
2019-04-09,-0.3448267896413504
2019-04-10,0.3460199591580393
2019-04-11,0.07662225229618791
2019-04-12,0.4211441213653577
2019-04-15,0.22872749027365025
2019-04-16,-0.07605968661080764
2019-04-17,0.26643360310070197
2019-04-18,0.3417201726005903
2019-04-22,-0.15137498284715223
2019-04-23,0.5684223161293689
2019-04-24,-0.45215539872183186
2019-04-25,-0.0757205388121518
2019-04-26,0.26518318677108965
2019-04-29,-0.03778436943073782
2019-04-30,-0.151177077874165
2019-05-01,-0.4920562334934542
2019-05-02,-0.53251483243274
2019-05-03,0.5735947425403509
2019-05-06,-0.07603077557916116
2019-05-07,-0.7610097983408726
2019-05-08,0.268383500674374
2019-05-09,-0.4971455939937419
2019-05-10,-0.15370678250004044
2019-05-13,-0.6158717996963103
2019-05-14,0.6583969114288157
2019-05-15,0.2308575348298314
2019-05-16,0.6910041364998731
2019-05-17,-0.1906327640990524
2019-05-21,0.2673672690025608
2019-05-22,-0.6856951638879449
2019-05-23,-1.0740260048696548
2019-05-24,0.504067154764809
2019-05-27,0.6172974255461483
2019-05-28,-0.4601660253909734
2019-05-29,-0.808908389936791
2019-05-30,-0.1941773103065425
2019-05-31,-0.2334625013602265
2019-06-03,-0.2730163243629624
2019-06-04,0.9777030417458255
2019-06-05,0.3098127086258007
2019-06-06,0.15448163728688513
2019-06-07,0.23129352286057614
2019-06-10,-0.2692271879324526
2019-06-11,0.23137379262534452
2019-06-12,-0.15389312671967303
2019-06-13,0.11561561427384515
2019-06-14,0.4618926925127109
