date,zag_xic_return_spread
2019-01-03,1.4001209555904892
2019-01-04,-2.0291755770269315
2019-01-07,-0.5447593498075332
2019-01-08,-0.8028057214431339
2019-01-09,-1.4434301594544396
2019-01-10,-0.6372009270216861
2019-01-11,-0.18795021664406164
2019-01-14,-0.1873007928638426
2019-01-15,-0.6344945784626299
2019-01-16,-0.37610931020830574
2019-01-17,-0.7314905602706978
2019-01-18,-0.7684139319642069
2019-01-21,0.19626948685911305
2019-01-22,0.7951268994870531
2019-01-23,0.0826036930899221
2019-01-24,-0.3655906306210932
2019-01-25,-0.45230346073650285
2019-01-28,-0.1637012601603427
2019-01-29,-0.6703913600313971
2019-01-30,0.17099245028374677
2019-01-31,-0.09639901516758087
2019-02-01,-0.1223664853414852
2019-02-04,-0.3958901485611399
2019-02-05,-0.5792158585077534
2019-02-06,0.04989470098588633
2019-02-07,0.299368538200695
2019-02-08,0.43982490667855423
2019-02-11,0.24767925332698226
2019-02-12,-0.4192378685897502
2019-02-13,-0.049270741715190525
2019-02-14,-0.19800112173753437
2019-02-15,-0.7899616413218569
2019-02-19,-0.5544541305718242
2019-02-20,-0.6301665577497895
2019-02-21,0.05284299905552459
2019-02-22,-0.03918419637851667
2019-02-25,-0.18418567332469937
2019-02-26,0.15498353032181722
2019-02-27,-0.27171790460632783
2019-02-28,0.2606840064137361
2019-03-01,-0.39156266264439576
2019-03-04,0.31131361974179317
2019-03-05,-0.24776671077795243
2019-03-06,0.38762358936095254
2019-03-07,0.6196618381774099
2019-03-08,0.11980993842019005
2019-03-11,-0.5117987545953051
2019-03-12,0.036820429608597216
2019-03-13,-0.21921964675076788
2019-03-14,0.28468462375078607
2019-03-15,0.00924432713826917
2019-03-18,-0.672529865842364
2019-03-19,0.3462893290968827
2019-03-20,0.4348934214755018
2019-03-21,-0.4638396786351029
2019-03-22,1.534409441035267
2019-03-25,0.40710075843989335
2019-03-26,-0.548600244304942
2019-03-27,0.3456652625660084
2019-03-28,-0.5016891768353182
2019-03-29,-0.029281735633301942
2019-04-01,-1.1619296263458812
2019-04-02,-0.10499605259082223
2019-04-03,-0.20463956438013797
2019-04-04,-0.1042507558388639
2019-04-05,-0.46243564871368825
2019-04-08,-0.36969016023752355
2019-04-09,0.2809774761899475
2019-04-10,-0.15443489777029473
2019-04-11,-0.26784096719162376
2019-04-12,-0.6765727846080649
2019-04-15,-0.03663627118910551
2019-04-16,-0.11566324954840335
2019-04-17,-0.3304329267406869
2019-04-18,-0.08546562870117569
2019-04-22,-0.04034795331205876
2019-04-23,-0.31233954408522724
2019-04-24,0.9630282268709323
2019-04-25,0.012216861652358801
2019-04-26,-0.13774017538747962
2019-04-29,-0.15317536449104274
2019-04-30,0.27874772643293744
2019-05-01,0.6194335010081597
2019-05-02,-0.04002299114567176
