date,nfc_credit_growth
2020-02-01,1.19827483806072
2020-03-01,3.7338206619769387
2020-04-01,0.9864215810191146
2020-05-01,-0.21712323337796935
2020-06-01,-0.7106652347441123
2020-07-01,-0.5834057226458689
2020-08-01,-0.41788443734456227
2020-09-01,1.0364561306285935
2020-10-01,0.4973053854402387
2020-11-01,-0.8092613537758142
2020-12-01,0.40005864228627175
2021-01-01,1.13842722178088
2021-02-01,0.1774125221394307
2021-03-01,0.7401239213816302
2021-04-01,-0.27547057839990563
2021-05-01,-0.02089890068239786
2021-06-01,2.000986114678649
2021-07-01,0.4928210109748532
2021-08-01,1.2086997347220407
2021-09-01,0.7957210923577263
2021-10-01,0.1648900516523666
2021-11-01,1.6221698424340625
2021-12-01,0.8388573875869554
2022-01-01,0.9992892085127769
2022-02-01,0.6242864364089495
2022-03-01,0.7717679207196237
2022-04-01,1.0585128498786567
2022-05-01,0.19290068086657008
2022-06-01,0.8593522866898518
2022-07-01,0.9118376355658153
2022-08-01,1.3797661747220857
2022-09-01,1.4587299881588356
2022-10-01,0.35676603749490443
2022-11-01,0.306818790075547
2022-12-01,0.1418144802803889
2023-01-01,0.3535565537159169
2023-02-01,1.003582721184948
2023-03-01,0.79393656244513
2023-04-01,0.5305345201718215
2023-05-01,0.5239658710020967
2023-06-01,-0.29170645108986815
2023-07-01,0.3380236020755989
2023-08-01,1.077136021274061
2023-09-01,0.5570000577800993
2023-10-01,0.8452850209346163
2023-11-01,0.28228052273888693
2023-12-01,-0.4618831575289084
2024-01-01,-0.1662027988094672
2024-02-01,0.63480431512557
2024-03-01,0.05691072307867362
2024-04-01,0.7883945445993579
2024-05-01,0.3259711644865604
2024-06-01,0.5394766028697928
2024-07-01,0.505908079169104
2024-08-01,0.31640132395800435
2024-09-01,0.543138291364964
2024-10-01,1.5088985619042372
2024-11-01,0.7017553382529407
2024-12-01,0.0750587533509206
2025-01-01,1.259511644681366
2025-02-01,0.7302343806793399
2025-03-01,-0.1448649086321363
2025-04-01,-0.6579057540862965
2025-05-01,0.5201750833207175
2025-06-01,0.6668676110464178
2025-07-01,0.6158930119881889
2025-08-01,0.4248130931316707
2025-09-01,0.5417642676810885
2025-10-01,0.47834522327956375
2025-11-01,0.833043798683164
2025-12-01,-0.33077126864368145
2026-01-01,0.33917643841236966
2026-02-01,0.5499960179163876
2026-03-01,0.5989586311501593
2026-04-01,-0.13338542999959957
2026-05-01,0.4449589865357151
2026-06-01,0.6729604467319072
