date,tsx_return
2019-01-03,-0.9367708597870616
2019-01-04,1.504276480535438
2019-01-07,0.5372021273095884
2019-01-08,0.6970483426089524
2019-01-09,1.3659518344981691
2019-01-10,0.6673543089969591
2019-01-11,0.2395423579192757
2019-01-14,0.24298358823044985
2019-01-15,0.4727708903709438
2019-01-16,0.4319998992692531
2019-01-17,0.6610972710237029
2019-01-18,0.6087593890423904
2019-01-21,0.32933252700784177
2019-01-22,-0.7841527991914399
2019-01-23,-0.16739093546545014
2019-01-24,0.4767133797405343
2019-01-25,0.5582155762640983
2019-01-28,0.08134790426825855
2019-01-29,0.5494648547094583
2019-01-30,0.13904068746324327
2019-01-31,0.3616496481193776
2019-02-01,-0.2207109477732616
2019-02-04,0.6191032110122174
2019-02-05,0.6434973810388822
2019-02-06,0.061133494593912374
2019-02-07,-0.056639792857349214
2019-02-08,-0.4464038628178235
2019-02-11,-0.4119374339842885
2019-02-12,0.4701630617026664
2019-02-13,-0.09844851041141967
2019-02-14,0.44347049486677115
2019-02-15,0.9059645470979927
2019-02-19,0.6263350260079292
2019-02-20,0.5885514725643581
2019-02-21,-0.1890052168168843
2019-02-22,0.07561830321805019
2019-02-25,0.27477674389557727
2019-02-26,0.06788559895996027
2019-02-27,0.039827319730179056
2019-02-28,-0.46844842762943095
2019-03-01,0.4331508512250837
2019-03-04,-0.18794891606198627
2019-03-05,0.30178382603827103
2019-03-06,0.03480937043482957
2019-03-07,-0.22122414252432332
2019-03-08,-0.3755476267399471
2019-03-11,0.6876633116421837
2019-03-12,0.18936806714271448
2019-03-13,0.08241960578385665
2019-03-14,-0.386380127708974
2019-03-15,0.3282079522866299
2019-03-18,0.6877152816139098
2019-03-19,-0.3895097021086036
2019-03-20,-0.1266362358440687
2019-03-21,0.4762611758108548
2019-03-22,-0.9560088178342974
2019-03-25,-0.1454346326226208
2019-03-26,0.5558344226982204
2019-03-27,-0.1405132405544962
2019-03-28,0.14256934759027118
2019-03-29,-0.33054000572559916
2019-04-01,0.7825066485530829
2019-04-02,0.22060981945981606
2019-04-03,0.09837738559455023
2019-04-04,0.19471383724347646
2019-04-05,0.5186469224414791
2019-04-08,0.06770814596657182
2019-04-09,-0.4315199812202519
2019-04-10,0.36605626205123976
2019-04-11,0.019511832532725926
2019-04-12,0.49391749748468605
2019-04-15,0.2123721974454762
2019-04-16,-0.08053514123096406
2019-04-17,0.25451153172528773
2019-04-18,0.4146562888474703
2019-04-22,-0.21369063812567424
2019-04-23,0.555576632108723
2019-04-24,-0.4973207714875194
2019-04-25,-0.06270394974828841
2019-04-26,0.22562841383897414
2019-04-29,-0.07884918515063122
2019-04-30,-0.1186788957579954
2019-05-01,-0.46981394736302917
2019-05-02,-0.5568775375960122
2019-05-03,0.50880815806853
2019-05-06,-0.005458765421451073
2019-05-07,-0.8227495395913498
2019-05-08,0.2420899290267231
2019-05-09,-0.46105226521591103
2019-05-10,-0.1482691590516283
2019-05-13,-0.6393531639472871
2019-05-14,0.562572450365284
2019-05-15,0.20632877506217007
2019-05-16,0.7709278914912687
2019-05-17,-0.2560196083345345
2019-05-21,0.15058845720303804
2019-05-22,-0.6032910807232228
2019-05-23,-0.9971016656361131
2019-05-24,0.404590229300017
2019-05-27,0.7190400204097447
2019-05-28,-0.30097937029889277
2019-05-29,-1.0185611290075114
2019-05-30,-0.26221866960605134
2019-05-31,-0.32133477540768896
2019-06-03,-0.13468189789556106
2019-06-04,0.9384411804626236
2019-06-05,0.28763716543287465
2019-06-06,0.09313445134428999
2019-06-07,0.019720451022431362
2019-06-10,-0.09056863602058263
2019-06-11,0.20041563359975978
2019-06-12,-0.132930491080141
2019-06-13,0.07456375239947022
2019-06-14,0.38548820879229506
2019-06-17,0.31652511755424495
2019-06-18,0.9166257414314982
2019-06-19,0.050900968443889916
2019-06-20,0.3815453010524328
2019-06-21,-0.2980451546716889
2019-06-24,-0.011499815920212875
2019-06-25,-0.9211135371592016
2019-06-26,-0.3609952177290099
2019-06-27,-0.02758671390811207
2019-06-28,0.4568394016797983
2019-07-02,0.5438865651452351
2019-07-03,0.6368558190583906
2019-07-04,0.07662294418271376
2019-07-05,-0.28272151571604454
2019-07-08,-0.4775722403578819
2019-07-09,0.49929671839883394
2019-07-10,0.10940673642350074
2019-07-11,-0.21372787400608662
2019-07-12,-0.24080966311108565
2019-07-15,0.13768216115150889
2019-07-16,-0.05087815385999006
2019-07-17,-0.1102940871883118
2019-07-18,0.06066415400163283
2019-07-19,-0.05031361641106846
2019-07-22,0.20017105052245743
2019-07-23,0.3256804439327743
2019-07-24,0.2359396136011549
2019-07-25,-0.7440587816313737
2019-07-26,0.25958432865929026
2019-07-29,-0.23471526979613744
2019-07-30,-0.15825426935982545
2019-07-31,-0.3613484760296437
2019-08-01,-0.18041282215534027
2019-08-02,-0.6429737112261136
2019-08-06,-0.7509983212922178
2019-08-07,0.7164320586550588
2019-08-08,0.8564284670018685
2019-08-09,-0.3852613326373877
2019-08-12,-0.6333645501706675
2019-08-13,0.6959070893790553
2019-08-14,-1.8647370018871512
2019-08-15,-0.20815529083375583
2019-08-16,0.8574538934426279
2019-08-19,0.9554285907786619
2019-08-20,-0.5569139471847229
2019-08-21,0.5914921193110434
2019-08-22,-0.3415262222883797
2019-08-23,-1.3283316862521932
2019-08-26,0.38160445953971944
2019-08-27,0.5267461283841035
2019-08-28,0.5443818931757605
2019-08-29,0.693226911346323
2019-08-30,0.35154938737831376
2019-09-03,-0.26091795843724563
2019-09-04,0.30246332054608693
2019-09-05,0.7660132898176242
2019-09-06,-0.23831357324477498
2019-09-09,-0.24312331784485108
2019-09-10,0.25584066101072
2019-09-11,0.44625679305942967
2019-09-12,0.193853342838457
2019-09-13,0.23492701290990237
2019-09-16,0.4130124503169297
2019-09-17,0.49846875231005505
2019-09-18,-0.20493263002211437
2019-09-19,0.34582481665947906
2019-09-20,0.2449747732173213
2019-09-23,-0.1923111150045842
2019-09-24,-0.40847586256888
2019-09-25,-0.0833417628503641
2019-09-26,0.03634115864876719
2019-09-27,-0.5723485273683937
2019-09-30,-0.21385245385716622
2019-10-01,-1.2660151247426032
2019-10-02,-0.8311145342089321
2019-10-03,0.355588253325978
