date,bank_equity_return
2019-01-03,-1.0331090338269289
2019-01-04,1.640316645412243
2019-01-07,-0.05868120718005576
2019-01-08,0.4990939051878085
2019-01-09,1.6359883700856503
2019-01-10,0.6611287402261912
2019-01-11,0.19989580739347979
2019-01-14,-0.028478654781038948
2019-01-15,0.5701050348408288
2019-01-16,0.9920923631734135
2019-01-17,0.8700211025752136
2019-01-18,0.8625919138297355
2019-01-21,0.2757407723536165
2019-01-22,-0.247538132201508
2019-01-23,-0.24813215935847177
2019-01-24,0.16585772942210308
2019-01-25,0.10242148985886157
2019-01-28,0.22117003611208386
2019-01-29,0.634491752583366
2019-01-30,0.027373692850973796
2019-01-31,0.30142948277545045
2019-02-01,-0.3551648795961926
2019-02-04,0.3564307966058111
2019-02-05,0.6557218337621462
2019-02-06,0.29859235129023887
2019-02-07,0.08121526086068975
2019-02-08,-0.3786112023989152
2019-02-11,-0.46144163614512124
2019-02-12,0.6817352828571543
2019-02-13,-0.10832213845932692
2019-02-14,-0.05419995024006363
2019-02-15,1.0851297396137438
2019-02-19,0.32215173545191433
2019-02-20,0.963031855546781
2019-02-21,-0.18547724308549673
2019-02-22,-0.08782553005302063
2019-02-25,0.4795065775972551
2019-02-26,-0.026534712398429416
2019-02-27,0.3182170550141139
2019-02-28,-0.6872660754465243
2019-03-01,0.15971435412998058
2019-03-04,0.23916363750207115
2019-03-05,0.1060807726454005
2019-03-06,0.05290360334326838
2019-03-07,-0.5823277492750578
2019-03-08,-0.15971804185913596
2019-03-11,0.453327623114097
2019-03-12,-0.026492397521915567
2019-03-13,0.0530440786145947
2019-03-14,-0.3184833314976654
2019-03-15,0.6922584057241332
2019-03-18,0.8196738720144037
2019-03-19,-0.13112567765183325
2019-03-20,-0.7353407885655971
2019-03-21,-0.2115967103215266
2019-03-22,-1.2725433741235692
2019-03-25,-0.19655569993228816
2019-03-26,0.2428253930997215
2019-03-27,-0.1614870976917926
2019-03-28,0.10780166273953729
2019-03-29,-0.40386339816038674
2019-04-01,1.459794658312319
2019-04-02,0.2665329096631197
2019-04-03,0.3188305713479389
2019-04-04,0.18547862082518574
2019-04-05,0.21155653149738107
2019-04-08,-0.10562862193594924
2019-04-09,-0.4226085744301167
2019-04-10,0.3183611670211972
2019-04-11,0.26434135288595506
2019-04-12,0.5274361148823958
2019-04-15,0.5771401622924
2019-04-16,0.5477780725022585
2019-04-17,0.4409147029400762
2019-04-18,0.3874651327151257
2019-04-22,-0.4373098359268357
2019-04-23,0.4392306346947539
2019-04-24,-0.6602649641539893
2019-04-25,0.1558427906063864
2019-04-26,0.4146851226729531
2019-04-29,0.464654331523473
2019-04-30,0.20552817205750085
2019-05-01,-0.15381288791661563
2019-05-02,-0.2568575313602328
2019-05-03,0.36052284230028153
2019-05-06,-0.07700488882256273
2019-05-07,-0.8728453850500584
2019-05-08,-0.051824355954410706
2019-05-09,-0.5442119576762994
2019-05-10,-0.2084514657165637
2019-05-13,-0.9921716421213755
2019-05-14,0.5273993534684385
2019-05-15,-0.02618810249471748
2019-05-16,0.3148670075019844
2019-05-17,-0.31387870701002907
2019-05-21,0.47225920430100654
2019-05-22,-0.49619346137079745
2019-05-23,-1.0236074070754553
2019-05-24,0.7284394185894438
2019-05-27,0.6069456169866649
2019-05-28,-0.8393907943070489
2019-05-29,-0.6878572563898011
2019-05-30,-0.4262182221080213
2019-05-31,-0.9898021016232716
2019-06-03,0.13509279470280688
2019-06-04,1.3221506732228994
2019-06-05,0.3195833899759526
2019-06-06,0.07965094672075512
2019-06-07,0.02654840887368337
2019-06-10,0.1060693555337
2019-06-11,0.0
2019-06-12,-0.7947188543822814
2019-06-13,0.18693106831382256
2019-06-14,0.6662696529362133
2019-06-17,0.0
2019-06-18,1.2444012179020136
2019-06-19,0.06291623807519464
2019-06-20,0.15718853930954957
2019-06-21,-0.36617872673687657
2019-06-24,0.10506304415329737
2019-06-25,-0.5245806028609912
2019-06-26,-0.2636321836100852
2019-06-27,-0.21148106885149343
2019-06-28,0.34441217719298756
2019-07-02,0.9503129156696488
2019-07-03,0.5753281386398745
2019-07-04,0.1039959130990864
2019-07-05,-0.02593910644534958
2019-07-08,-0.31181335727229476
2019-07-09,0.3127886741382868
2019-07-10,-0.36381146843542655
2019-07-11,-0.10423142379798467
2019-07-12,-0.36547055300860665
2019-07-15,0.0
2019-07-16,-0.026188619554801118
2019-07-17,-0.26206215641719766
2019-07-18,0.23649274983512658
2019-07-19,-0.026252876856702745
2019-07-22,0.026259770801995153
2019-07-23,0.471768492580793
2019-07-24,0.5479106689392887
2019-07-25,-0.3798598553557353
2019-07-26,0.23510946207467853
