date,consumer_proposals_growth
2020-02-01,2.7124773960216952
2020-03-01,-2.410617551462624
2020-04-01,-37.28837080210935
2020-05-01,-10.068599247621158
2020-06-01,2.460629921259838
2020-07-01,3.2660902977905915
2020-08-01,-2.5348837209302366
2020-09-01,20.54402290622763
2020-10-01,7.1060965954077515
2020-11-01,-1.9774533357974522
2020-12-01,-9.615384615384615
2021-01-01,3.420942845223185
2021-02-01,5.082694634933449
2021-03-01,21.612284069097896
2021-04-01,-15.26199494949495
2021-05-01,-5.606258148631027
2021-06-01,1.16416732438831
2021-07-01,-9.284181782718937
2021-08-01,4.816168565899814
2021-09-01,7.958974358974369
2021-10-01,-0.30400912027360727
2021-11-01,9.109967600533642
2021-12-01,-16.12227074235808
2022-01-01,-0.08329862557268086
2022-02-01,15.172988745310544
2022-03-01,24.031849439015573
2022-04-01,-15.01313101838343
2022-05-01,7.124463519313307
2022-06-01,7.54807692307693
2022-07-01,-12.53166443153032
2022-08-01,14.787052810902889
2022-09-01,3.4579994063520303
2022-10-01,-2.3669487878353213
2022-11-01,7.508081104907438
2022-12-01,-18.79185458521252
2023-01-01,15.718613261528102
2023-02-01,5.395578824898206
2023-03-01,28.839519801297087
2023-04-01,-19.6208632323016
2023-05-01,12.311792138574273
2023-06-01,-0.9965594969747249
2023-07-01,-10.041941282204913
2023-08-01,9.218063141068345
2023-09-01,1.6831320892791712
2023-10-01,5.793450881612094
2023-11-01,4.70521541950113
2023-12-01,-22.252301028695175
2024-01-01,19.707520891364894
2024-02-01,7.853403141361248
2024-03-01,-1.0679611650485477
2024-04-01,0.4906771344455274
2024-05-01,1.671006944444442
2024-06-01,-6.606189967982923
2024-07-01,5.279396640383949
2024-08-01,-2.084011722565937
2024-09-01,0.9533311162842173
2024-10-01,10.080158120127368
2024-11-01,-7.950124688279303
2024-12-01,-21.022973558734282
2025-01-01,23.147639956092213
2025-02-01,-3.364902506963785
2025-03-01,10.607632883661932
2025-04-01,-6.119045137079116
2025-05-01,4.075061070397523
2025-06-01,-4.67299690600661
2025-07-01,8.27084499160604
2025-08-01,-7.794087244159598
2025-09-01,10.706278026905824
2025-10-01,0.6379746835442957
2025-11-01,-8.79452606158181
2025-12-01,-10.172109443954103
2026-01-01,11.262589044460825
2026-02-01,8.488795672811577
2026-03-01,8.445258445258453
