date,bond_etf_volume_growth
2019-01-03,-32.90993071593533
2019-01-04,97.07401032702236
2019-01-07,87.33624454148472
2019-01-08,-69.27738927738928
2019-01-09,56.904400606980275
2019-01-10,-2.127659574468088
2019-01-11,-60.27667984189724
2019-01-14,86.81592039800996
2019-01-15,1.5978695073235683
2019-01-16,-28.04718217562254
2019-01-17,21.857923497267763
2019-01-18,122.72047832585949
2019-01-21,-33.08724832214766
2019-01-22,9.127382146439311
2019-01-23,-56.43382352941176
2019-01-24,39.662447257383974
2019-01-25,212.5377643504532
2019-01-28,-66.79555340744321
2019-01-29,60.26200873362446
2019-01-30,-15.168029064486833
2019-01-31,23.66167023554604
2019-02-01,-4.329004329004327
2019-02-04,-11.4027149321267
2019-02-05,19.305413687436168
2019-02-06,-26.1986301369863
2019-02-07,-23.4338747099768
2019-02-08,413.4848484848485
2019-02-11,-64.91590439657716
2019-02-12,32.80067283431456
2019-02-13,-35.085497150095
2019-02-14,-57.07317073170732
2019-02-15,175.45454545454544
2019-02-19,41.83168316831682
2019-02-20,6.5154159394997135
2019-02-21,2.1299836155106444
2019-02-22,-54.06417112299465
2019-02-25,0.6984866123399325
2019-02-26,-3.6994219653179172
2019-02-27,92.67707082833134
2019-02-28,-16.44859813084112
2019-03-01,-6.562266964951524
2019-03-04,62.41021548284118
2019-03-05,-59.21375921375922
2019-03-06,-34.337349397590366
2019-03-07,25.137614678899077
2019-03-08,296.6275659824047
2019-03-11,-68.53974121996302
2019-03-12,11.868390129259687
2019-03-13,30.252100840336137
2019-03-14,-31.532258064516128
2019-03-15,8.00942285041224
2019-03-18,27.480916030534353
2019-03-19,-12.745936698032512
2019-03-20,1.4705882352941124
2019-03-21,13.23671497584542
2019-03-22,31.569965870307158
2019-03-25,-22.11413748378729
2019-03-26,196.0865945045795
2019-03-27,-64.82002249718786
2019-03-28,-1.1191047162270151
2019-03-29,-16.976556184316895
2019-04-01,160.1752677702045
2019-04-02,-60.928143712574844
2019-04-03,-27.107279693486586
2019-04-04,0.7884362680683266
2019-04-05,48.5006518904824
2019-04-08,7.813871817383666
2019-04-09,-48.28990228013029
2019-04-10,-25.984251968503933
2019-04-11,356.1702127659575
2019-04-12,-7.462686567164178
2019-04-15,-41.17943548387096
2019-04-16,-11.396743787489294
2019-04-17,30.270793036750486
2019-04-18,4.380103934669632
2019-04-22,-5.263157894736848
2019-04-23,31.231231231231238
2019-04-24,-48.51258581235698
2019-04-25,49.777777777777786
