date,bond_index_return
2019-01-02,11.952286720275879
2019-01-03,11.999065399169922
2019-01-04,11.952286720275879
2019-01-07,11.944489479064941
2019-01-08,11.936689376831055
2019-01-09,11.928897857666016
2019-01-10,11.928897857666016
2019-01-11,11.936689376831055
2019-01-14,11.944489479064941
2019-01-15,11.928897857666016
2019-01-16,11.928897857666016
2019-01-17,11.921099662780762
2019-01-18,11.913307189941406
2019-01-21,11.936689376831055
2019-01-22,11.967879295349121
2019-01-23,11.967879295349121
2019-01-24,11.983471870422363
2019-01-25,11.983471870422363
2019-01-28,11.983471870422363
2019-01-29,11.991287231445312
2019-01-30,12.006924629211426
2019-01-31,12.053825378417969
2019-02-01,12.014738082885742
2019-02-04,12.030379295349121
2019-02-05,12.038190841674805
2019-02-06,12.053825378417969
2019-02-07,12.085095405578613
2019-02-08,12.085095405578613
2019-02-11,12.061640739440918
2019-02-12,12.069458961486816
2019-02-13,12.053825378417969
2019-02-14,12.092909812927246
2019-02-15,12.108545303344727
2019-02-19,12.108545303344727
2019-02-20,12.108545303344727
2019-02-21,12.100729942321777
2019-02-22,12.100729942321777
2019-02-25,12.116358757019043
2019-02-26,12.139872550964355
2019-02-27,12.11635971069336
2019-02-28,12.100687026977539
2019-03-01,12.100687026977539
2019-03-04,12.124198913574219
2019-03-05,12.132036209106445
2019-03-06,12.179062843322754
2019-03-07,12.226086616516113
2019-03-08,12.202568054199219
2019-03-11,12.226086616516113
2019-03-12,12.249594688415527
2019-03-13,12.241754531860352
2019-03-14,12.233916282653809
2019-03-15,12.273104667663574
2019-03-18,12.28094482421875
2019-03-19,12.28094482421875
2019-03-20,12.320131301879883
2019-03-21,12.320131301879883
2019-03-22,12.390663146972656
2019-03-25,12.422016143798828
2019-03-26,12.422016143798828
2019-03-27,12.445590019226074
2019-03-28,12.422014236450195
2019-03-29,12.374871253967285
2019-04-01,12.327727317810059
2019-04-02,12.343443870544434
2019-04-03,12.327727317810059
2019-04-04,12.343443870544434
2019-04-05,12.343443870544434
2019-04-08,12.312015533447266
2019-04-09,12.304154396057129
2019-04-10,12.327727317810059
2019-04-11,12.304154396057129
2019-04-12,12.272726058959961
2019-04-15,12.296300888061523
2019-04-16,12.272726058959961
2019-04-17,12.264871597290039
2019-04-18,12.296300888061523
2019-04-22,12.272726058959961
