date,consumer_bankruptcies_growth
2020-02-01,0.7031250000000044
2020-03-01,-3.2583397982932527
2020-04-01,-41.70008019246191
2020-05-01,-6.143970655662545
2020-06-01,6.741573033707859
2020-07-01,4.576659038901609
2020-08-01,-0.5251641137855589
2020-09-01,14.650241970963474
2020-10-01,4.528012279355331
2020-11-01,-4.001468428781207
2020-12-01,-3.7858508604206476
2021-01-01,-15.421303656597773
2021-02-01,8.270676691729317
2021-03-01,25.347222222222232
2021-04-01,-8.760387811634352
2021-05-01,-10.094876660341557
2021-06-01,-2.026171380329256
2021-07-01,-15.855234812580788
2021-08-01,9.42140296979006
2021-09-01,4.539073467477772
2021-10-01,-2.7752909579230045
2021-11-01,9.43830570902393
2021-12-01,-18.258308792595713
2022-01-01,-9.00669068450849
2022-02-01,5.542986425339369
2022-03-01,25.455519828510177
2022-04-01,-9.055958991883806
2022-05-01,2.6303428839830945
2022-06-01,0.5034324942791768
2022-07-01,-11.111111111111116
2022-08-01,9.836065573770503
2022-09-01,1.9123134328358216
2022-10-01,-8.100686498855836
2022-11-01,4.880478087649398
2022-12-01,-18.993352326685663
2023-01-01,8.968347010551003
2023-02-01,6.23991393222163
2023-03-01,23.088607594936718
2023-04-01,-13.163307280954339
2023-05-01,19.943154902889624
2023-06-01,-9.08372827804107
2023-07-01,-14.205039096437877
2023-08-01,14.430379746835452
2023-09-01,-2.9646017699115013
2023-10-01,3.5567715458276306
2023-11-01,7.7498899163364054
2023-12-01,-23.988557417245605
2024-01-01,17.903225806451605
2024-02-01,3.6023711810305503
2024-03-01,4.929577464788726
2024-04-01,8.011744966442947
2024-05-01,9.708737864077666
2024-06-01,-16.991150442477874
2024-07-01,8.102345415778256
2024-08-01,-6.627218934911239
2024-09-01,-0.9294465568229882
2024-10-01,15.053304904051167
2024-11-01,-7.449962935507781
2024-12-01,-19.743692430917104
2025-01-01,10.828343313373257
2025-02-01,0.4052228725799134
2025-03-01,13.587443946188337
2025-04-01,4.224240031583104
2025-05-01,-0.3409090909090917
2025-06-01,-3.876852907639683
2025-07-01,3.242388295769083
2025-08-01,-8.732286480275754
2025-09-01,17.205203524968525
2025-10-01,-2.470461868958107
2025-11-01,-8.81057268722467
2025-12-01,1.046698872785834
2026-01-01,-6.414342629482073
2026-02-01,5.5342699020859865
2026-03-01,10.851149657119796
