date,business_insolvencies_growth
2020-02-01,5.1948051948051965
2020-03-01,-22.530864197530864
2020-04-01,-34.66135458167331
2020-05-01,17.682926829268286
2020-06-01,29.53367875647668
2020-07-01,-12.8
2020-08-01,-18.34862385321101
2020-09-01,30.337078651685403
2020-10-01,3.4482758620689724
2020-11-01,-12.083333333333336
2020-12-01,2.8436018957346043
2021-01-01,-24.884792626728114
2021-02-01,23.31288343558282
2021-03-01,18.905472636815922
2021-04-01,-16.317991631799167
2021-05-01,-7.499999999999996
2021-06-01,20.54054054054053
2021-07-01,-28.251121076233186
2021-08-01,5.000000000000004
2021-09-01,23.809523809523814
2021-10-01,10.576923076923084
2021-11-01,-0.8695652173912993
2021-12-01,20.61403508771931
2022-01-01,-22.545454545454547
2022-02-01,29.5774647887324
2022-03-01,15.217391304347828
2022-04-01,-18.867924528301884
2022-05-01,-8.914728682170548
2022-06-01,28.936170212765955
2022-07-01,-23.432343234323426
2022-08-01,20.25862068965518
2022-09-01,2.1505376344086002
2022-10-01,6.315789473684208
2022-11-01,19.14191419141915
2022-12-01,-6.094182825484761
2023-01-01,-2.359882005899705
2023-02-01,-8.157099697885196
2023-03-01,43.0921052631579
2023-04-01,-20.919540229885058
2023-05-01,8.720930232558132
2023-06-01,-0.5347593582887722
2023-07-01,-6.989247311827961
2023-08-01,10.693641618497107
2023-09-01,4.438642297650142
2023-10-01,23.50000000000001
2023-11-01,0.0
2023-12-01,7.8947368421052655
2024-01-01,42.4015009380863
2024-02-01,-11.067193675889332
2024-03-01,-15.70370370370371
2024-04-01,-3.1634446397188043
2024-05-01,-3.8112522686025385
2024-06-01,-13.207547169811317
2024-07-01,-1.30434782608696
2024-08-01,-9.251101321585908
2024-09-01,8.252427184466015
2024-10-01,5.156950672645744
2024-11-01,0.0
2024-12-01,-15.991471215351815
2025-01-01,7.614213197969533
2025-02-01,7.547169811320753
2025-03-01,-0.8771929824561431
2025-04-01,3.539823008849563
2025-05-01,-16.45299145299145
2025-06-01,7.161125319693085
2025-07-01,-10.262529832935563
2025-08-01,-12.765957446808507
2025-09-01,23.17073170731707
2025-10-01,6.188118811881194
2025-11-01,-17.016317016317018
2025-12-01,-5.33707865168539
2026-01-01,8.902077151335309
2026-02-01,11.171662125340598
2026-03-01,12.00980392156863
