date,gic_5y
1980-11-19,13.25
1980-11-26,13.0
1980-12-03,13.0
1980-12-10,13.25
1980-12-17,13.25
1980-12-24,13.25
1980-12-31,13.25
1981-01-07,13.25
1981-01-14,13.25
1981-01-21,13.25
1981-01-28,13.25
1981-02-04,13.25
1981-02-11,13.25
1981-02-18,13.25
1981-02-25,13.25
1981-03-04,13.5
1981-03-11,13.75
1981-03-18,13.75
1981-03-25,14.0
1981-04-01,14.0
1981-04-08,14.25
1981-04-15,14.25
1981-04-22,14.5
1981-04-29,14.75
1981-05-06,15.25
1981-05-13,15.75
1981-05-20,15.75
1981-05-27,15.75
1981-06-03,15.75
1981-06-10,15.75
1981-06-17,15.75
1981-06-24,15.75
1981-07-01,16.0
1981-07-08,16.0
1981-07-15,16.0
1981-07-22,16.0
1981-07-29,17.0
1981-08-05,17.75
1981-08-12,17.75
1981-08-19,17.75
1981-08-26,17.75
1981-09-02,17.75
1981-09-09,17.75
1981-09-16,17.5
1981-09-23,17.5
1981-09-30,17.5
1981-10-07,17.5
1981-10-14,17.0
1981-10-21,17.0
1981-10-28,17.0
1981-11-04,17.0
1981-11-11,16.75
1981-11-18,15.0
1981-11-25,14.25
1981-12-02,13.5
1981-12-09,13.5
1981-12-16,13.5
1981-12-23,14.5
1981-12-30,14.5
1982-01-06,14.5
1982-01-13,14.75
1982-01-20,14.75
1982-01-27,15.0
1982-02-03,15.25
1982-02-10,15.25
1982-02-17,15.5
1982-02-24,15.75
1982-03-03,16.0
1982-03-10,15.25
1982-03-17,15.25
1982-03-24,15.0
1982-03-31,15.25
1982-04-07,15.25
1982-04-14,15.25
1982-04-21,15.25
1982-04-28,15.25
1982-05-05,15.25
1982-05-12,15.0
1982-05-19,15.0
1982-05-26,14.75
1982-06-02,14.5
1982-06-09,14.5
1982-06-16,14.5
1982-06-23,14.5
1982-06-30,14.5
1982-07-07,14.5
1982-07-14,14.5
1982-07-21,14.5
1982-07-28,14.5
1982-08-04,14.5
1982-08-11,14.5
1982-08-18,14.0
1982-08-25,13.0
1982-09-01,13.0
1982-09-08,13.0
1982-09-15,13.0
1982-09-22,13.0
1982-09-29,12.75
1982-10-06,12.25
1982-10-13,11.75
1982-10-20,11.5
1982-10-27,11.5
1982-11-03,11.5
1982-11-10,11.5
1982-11-17,11.0
1982-11-24,11.0
1982-12-01,11.0
1982-12-08,11.0
1982-12-15,11.0
1982-12-22,10.5
1982-12-29,10.5
1983-01-05,10.5
1983-01-12,10.75
1983-01-19,11.0
1983-01-26,11.0
1983-02-02,11.25
1983-02-09,11.25
1983-02-16,11.25
1983-02-23,11.25
1983-03-02,11.25
1983-03-09,11.25
1983-03-16,11.25
1983-03-23,11.25
1983-03-30,11.25
1983-04-06,11.25
1983-04-13,11.25
1983-04-20,11.25
1983-04-27,11.25
1983-05-04,11.25
1983-05-11,11.25
1983-05-18,11.0
1983-05-25,11.0
1983-06-01,11.0
1983-06-08,11.0
1983-06-15,11.25
1983-06-22,11.25
1983-06-29,11.25
1983-07-06,11.25
1983-07-13,11.25
1983-07-20,11.25
1983-07-27,11.5
1983-08-03,11.75
1983-08-10,11.75
1983-08-17,11.75
1983-08-24,12.0
1983-08-31,12.0
1983-09-07,12.0
1983-09-14,12.0
1983-09-21,12.0
1983-09-28,12.0
1983-10-05,11.75
1983-10-12,11.75
1983-10-19,11.5
1983-10-26,11.5
1983-11-02,11.0
1983-11-09,11.0
1983-11-16,10.75
1983-11-23,10.5
1983-11-30,10.5
1983-12-07,10.5
1983-12-14,10.5
1983-12-21,10.5
1983-12-28,10.5
1984-01-04,10.5
1984-01-11,10.5
1984-01-18,11.0
1984-01-25,11.0
1984-02-01,11.0
1984-02-08,11.0
1984-02-15,11.0
1984-02-22,11.0
1984-02-29,11.0
1984-03-07,11.0
1984-03-14,11.25
1984-03-21,11.75
1984-03-28,11.75
1984-04-04,11.75
1984-04-11,11.75
1984-04-18,12.0
1984-04-25,12.0
1984-05-02,12.25
1984-05-09,12.5
1984-05-16,12.75
1984-05-23,13.0
1984-05-30,13.0
1984-06-06,13.0
1984-06-13,13.0
1984-06-20,13.0
1984-06-27,13.0
1984-07-04,13.25
1984-07-11,13.25
1984-07-18,13.25
1984-07-25,13.25
1984-08-01,13.0
1984-08-08,12.75
1984-08-15,12.5
1984-08-22,12.25
1984-08-29,12.25
1984-09-05,12.25
1984-09-12,12.25
1984-09-19,12.0
1984-09-26,12.0
1984-10-03,12.0
1984-10-10,12.0
1984-10-17,12.0
1984-10-24,12.0
1984-10-31,11.75
1984-11-07,11.75
1984-11-14,11.5
1984-11-21,11.25
1984-11-28,11.0
1984-12-05,11.0
1984-12-12,11.0
1984-12-19,11.0
1984-12-26,10.75
1985-01-02,10.75
1985-01-09,10.75
1985-01-16,10.75
1985-01-23,10.75
1985-01-30,10.75
1985-02-06,10.75
1985-02-13,10.75
1985-02-20,11.0
1985-02-27,11.5
1985-03-06,11.5
1985-03-13,11.75
1985-03-20,11.75
1985-03-27,11.75
1985-04-03,11.0
1985-04-10,11.0
1985-04-17,10.5
1985-04-24,10.5
1985-05-01,10.75
1985-05-08,10.75
1985-05-15,10.75
1985-05-22,10.5
1985-05-29,10.25
1985-06-05,10.25
1985-06-12,10.0
1985-06-19,10.0
1985-06-26,10.0
1985-07-03,10.0
1985-07-10,10.0
1985-07-17,10.0
1985-07-24,10.0
1985-07-31,10.0
1985-08-07,10.0
1985-08-14,10.5
1985-08-21,10.5
1985-08-28,10.5
1985-09-04,10.5
1985-09-11,10.5
1985-09-18,10.5
1985-09-25,10.5
1985-10-02,10.5
1985-10-09,10.5
1985-10-16,10.5
1985-10-23,10.5
1985-10-30,10.5
1985-11-06,10.5
1985-11-13,10.25
1985-11-20,10.0
1985-11-27,10.0
1985-12-04,10.0
1985-12-11,10.0
1985-12-18,9.75
1985-12-25,9.75
1986-01-01,9.75
1986-01-08,9.75
1986-01-15,10.0
1986-01-22,10.0
1986-01-29,10.0
1986-02-05,10.25
1986-02-12,10.25
1986-02-19,10.25
1986-02-26,10.25
1986-03-05,10.25
1986-03-12,10.0
1986-03-19,9.75
1986-03-26,9.75
1986-04-02,9.5
1986-04-09,9.25
1986-04-16,9.25
1986-04-23,9.0
1986-04-30,9.0
1986-05-07,8.75
1986-05-14,8.75
1986-05-21,8.75
1986-05-28,8.75
1986-06-04,9.25
1986-06-11,9.5
