date,nfc_nonmortgage_growth
2020-02-01,0.8637646455144088
2020-03-01,6.990052396650981
2020-04-01,1.6705485395292818
2020-05-01,-1.6116566678512911
2020-06-01,-1.967574564536656
2020-07-01,-0.8515610125590545
2020-08-01,-0.6508218508152197
2020-09-01,0.1312673557275712
2020-10-01,0.04305035363783016
2020-11-01,-0.5062486379038278
2020-12-01,0.7467038716428398
2021-01-01,0.9477885395692054
2021-02-01,0.6989543807085941
2021-03-01,0.9894542675409124
2021-04-01,0.4732201633877553
2021-05-01,0.37029478579828634
2021-06-01,1.3426167449201998
2021-07-01,0.8879273818747757
2021-08-01,1.0849968730947568
2021-09-01,0.9782210562147009
2021-10-01,0.4063138870908922
2021-11-01,1.3052830453625708
2021-12-01,1.306484538420838
2022-01-01,0.9407324851856025
2022-02-01,0.7104031861552063
2022-03-01,0.7424664372867928
2022-04-01,1.3169465010979708
2022-05-01,1.145186870569792
2022-06-01,1.893474293028663
2022-07-01,2.2029367837751
2022-08-01,1.8769596713158254
2022-09-01,1.598955255393797
2022-10-01,1.0587601433817762
2022-11-01,0.4340167274333506
2022-12-01,0.6042826283369385
2023-01-01,1.080916938026566
2023-02-01,1.2423643913778148
2023-03-01,0.6403916006212373
2023-04-01,0.34304223361165675
2023-05-01,0.669047214665075
2023-06-01,0.05661681902491278
2023-07-01,0.4564023043557963
2023-08-01,0.899904541536789
2023-09-01,0.6736800422925349
2023-10-01,0.859147462144283
2023-11-01,0.3014318767978974
2023-12-01,-0.3590478967689714
2024-01-01,-1.2502841097659312
2024-02-01,-0.9856380779344587
2024-03-01,-0.10882265815285175
2024-04-01,0.6402612941556862
2024-05-01,-0.10957822104720183
2024-06-01,-0.17197353717506303
2024-07-01,0.04340090741754565
2024-08-01,-0.033639059049883624
2024-09-01,0.29002933122950214
2024-10-01,0.8737095368449577
2024-11-01,0.733092180586703
2024-12-01,-0.9925241058826639
2025-01-01,1.6157125760193347
2025-02-01,0.3577300204031131
2025-03-01,0.09113279863439683
2025-04-01,-0.31379315153917675
2025-05-01,0.7227969333343909
2025-06-01,0.7665222451184617
2025-07-01,0.37059828386607485
2025-08-01,0.26995769158706384
2025-09-01,0.16533437164623077
2025-10-01,0.1914322354303888
2025-11-01,0.6190163781010449
2025-12-01,0.36815605166198306
2026-01-01,0.0752916828753003
2026-02-01,0.09008913422798859
2026-03-01,0.08942983660744641
2026-04-01,-0.27748545415857695
2026-05-01,0.33869798239118953
2026-06-01,0.6839620145125513
