date,resi_mortgage_credit_growth
2020-02-01,0.522937476766816
2020-03-01,0.5122970953951533
2020-04-01,0.5463587340971188
2020-05-01,0.2937322199202841
2020-06-01,0.3173122285353047
2020-07-01,0.5117978811251422
2020-08-01,0.6591700854596372
2020-09-01,0.8205204791492227
2020-10-01,0.8755627284716239
2020-11-01,0.7839557150963516
2020-12-01,0.675302878254036
2021-01-01,0.7183970104093884
2021-02-01,0.5537096093289673
2021-03-01,0.8418869788885841
2021-04-01,1.1054184508103582
2021-05-01,0.8936904401035672
2021-06-01,1.1788428559506237
2021-07-01,0.8556046146666052
2021-08-01,0.8041295535023085
2021-09-01,0.6774818799899718
2021-10-01,0.7796610169491514
2021-11-01,0.9472264697203192
2021-12-01,0.7795551517127519
2022-01-01,0.8740823453824653
2022-02-01,0.8135235023486231
2022-03-01,0.7564458712366662
2022-04-01,0.7659602266850252
2022-05-01,0.8181906587075849
2022-06-01,0.7196245792812306
2022-07-01,0.5526940874259756
2022-08-01,0.40135915679944123
2022-09-01,0.39170595224407023
2022-10-01,0.29473298413329463
2022-11-01,0.27940191241853096
2022-12-01,0.24412765052876928
2023-01-01,0.2981091511178535
2023-02-01,0.29613765705325257
2023-03-01,0.32735403642536465
2023-04-01,0.30644706659244125
2023-05-01,0.262307284801655
2023-06-01,0.3353505978343829
2023-07-01,0.3401325764089913
2023-08-01,0.4285187545858049
2023-09-01,0.3168697877341309
2023-10-01,0.3306738122616837
2023-11-01,0.30699151522928236
2023-12-01,0.21285208082439944
2024-01-01,0.1951216843560255
2024-02-01,0.3216423095455667
2024-03-01,0.31544067356901184
2024-04-01,0.2568035999524376
2024-05-01,0.3557630777542231
2024-06-01,0.30318472024501997
2024-07-01,0.35513275926102317
2024-08-01,0.4065980670074243
2024-09-01,0.4290939098098079
2024-10-01,0.44682839496390514
2024-11-01,0.5146542248188668
2024-12-01,0.3274607018656228
2025-01-01,0.40134665065882924
2025-02-01,0.39769635604618436
2025-03-01,0.3572286445429729
2025-04-01,0.43536586156169843
2025-05-01,0.3867195599225992
2025-06-01,0.38390142230784186
2025-07-01,0.23170529204130652
2025-08-01,0.4931307092368664
2025-09-01,0.4274808254486562
2025-10-01,0.5152074607813084
2025-11-01,0.37226052443097846
2025-12-01,0.2404215156343037
2026-01-01,0.34370254895685903
2026-02-01,0.3108384696185018
2026-03-01,0.29387367287370125
2026-04-01,0.3113232893132478
2026-05-01,0.2607460931351335
2026-06-01,0.367991254351252
