date,bond_etf_flow_rate
2023-04-01,1.018957345971564
2023-05-01,0.9578947368421054
2023-06-01,1.3896103896103895
2023-07-01,1.1478463329452853
2023-08-01,0.7436194895591648
2023-09-01,1.205098493626883
2023-10-01,1.6510538641686183
2023-11-01,0.6743916570104288
2023-12-01,2.0088495575221237
2024-01-01,0.339323467230444
2024-02-01,1.2561105207226357
2024-05-01,1.3420229405630866
2024-06-01,5.435975609756098
2024-07-01,1.4013409961685825
2024-08-01,1.0919220055710308
2024-09-01,1.3644688644688645
2024-10-01,2.442857142857143
2024-11-01,0.8648409893992932
2024-12-01,1.7986171132238546
2025-01-01,1.4550128534704372
2025-02-01,2.5753768844221105
2025-03-01,3.315490673154907
2025-04-01,0.0821484992101106
2025-05-01,2.4666136724960257
2025-06-01,1.5217391304347825
2025-07-01,1.157372039724981
2025-08-01,1.419893697798026
2025-09-01,2.7501869857890804
2025-10-01,1.4740259740259742
2025-11-01,2.294826364280652
2025-12-01,2.3981931897150797
2026-01-01,2.741095890410959
2026-02-01,2.885354539430086
2026-03-01,2.3682195277600515
2026-04-01,0.9105329949238579
2026-05-01,1.652804032766226
2026-06-01,1.5015384615384617
2026-07-01,1.5732445520581115
