date,gdp_growth
2020-02-01,0.2096998989860266
2020-03-01,-7.539542451691084
2020-04-01,-10.658995062047694
2020-05-01,4.581970298717697
2020-06-01,5.924033986350308
2020-07-01,2.5718359714117733
2020-08-01,0.9964151209393091
2020-09-01,0.9366821043815587
2020-10-01,0.6247348371288819
2020-11-01,0.6801488994516491
2020-12-01,0.2707189188793979
2021-01-01,0.5713360541201196
2021-02-01,0.15199353737402888
2021-03-01,1.0618573670397424
2021-04-01,-1.0316428096182273
2021-05-01,-0.2059793866177051
2021-06-01,0.943377064528983
2021-07-01,0.6804034511718848
2021-08-01,0.8389749573279648
2021-09-01,0.47958496057805
2021-10-01,0.8438035830773405
2021-11-01,0.4639879585740747
2021-12-01,0.41312487339011383
2022-01-01,-0.24329114286361087
2022-02-01,1.0657798588431744
2022-03-01,0.5976952125314128
2022-04-01,0.01834367953272853
2022-05-01,0.23259888638333948
2022-06-01,0.41671661091073897
2022-07-01,0.14853271382153643
2022-08-01,0.2977084037836253
2022-09-01,0.21854474855649286
2022-10-01,-0.11044894644550718
2022-11-01,-0.11317909141066451
2022-12-01,-0.29215915065868847
2023-01-01,0.961126045305849
2023-02-01,0.34165254294133973
2023-03-01,0.3002009956190932
2023-04-01,0.006398390449335878
2023-05-01,0.02399242905573029
2023-06-01,-0.12757357023875926
2023-07-01,0.11230318033710329
2023-08-01,0.04544842669809146
2023-09-01,-0.03432617235201718
2023-10-01,0.10603455207176538
2023-11-01,0.2631415461895603
2023-12-01,-0.1240113832004841
2024-01-01,0.27013277983292117
2024-02-01,0.6057193768329361
2024-03-01,0.04485014078814409
2024-04-01,0.35793774816235135
2024-05-01,0.14853588246284133
2024-06-01,0.21900029619430494
2024-07-01,0.19929809755754313
2024-08-01,0.1171135936602008
2024-09-01,0.2697588118097727
2024-10-01,0.4138636971332543
2024-11-01,-0.20439580453442963
2024-12-01,0.20165745736888674
2025-01-01,0.5486836426413566
2025-02-01,-0.15628534501889169
2025-03-01,0.17875628957315648
2025-04-01,-0.07896216253331367
2025-05-01,-0.15358251839253656
2025-06-01,-0.08977062251001033
2025-07-01,0.6987476358607747
2025-08-01,-0.054254952100440956
2025-09-01,0.19134289948017358
2025-10-01,-0.25574672279147226
2025-11-01,0.08094441716808287
2025-12-01,0.1124007832127738
2026-01-01,-0.01691808825602381
2026-02-01,0.16177454627495091
2026-03-01,-0.15391966144500113
2026-04-01,0.6311974678611776
2026-05-01,0.33164278026276417
2026-06-01,0.26461497315339866
