"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2020-06-01","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.66,0,0,0,"",0
"2020-06-01","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.62,0,0,0,"",0
"2020-06-01","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.27,0,0,0,"",0
"2020-06-01","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.65,0,0,0,"",0
"2020-06-02","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.66,0,0,0,"",0
"2020-06-02","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.62,0,0,0,"",0
"2020-06-02","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.27,0,0,0,"",0
"2020-06-02","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.65,0,0,0,"",0
"2020-06-03","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.61,0,0,0,"",0
"2020-06-03","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.57,0,0,0,"",0
"2020-06-03","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.22,0,0,0,"",0
"2020-06-03","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.6,0,0,0,"",0
"2020-06-04","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6,0,0,0,"",0
"2020-06-04","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.56,0,0,0,"",0
"2020-06-04","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.21,0,0,0,"",0
"2020-06-04","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.59,0,0,0,"",0
"2020-06-05","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.56,0,0,0,"",0
"2020-06-05","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.52,0,0,0,"",0
"2020-06-05","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.17,0,0,0,"",0
"2020-06-05","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.55,0,0,0,"",0
"2020-06-08","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.61,0,0,0,"",0
"2020-06-08","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.57,0,0,0,"",0
"2020-06-08","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.22,0,0,0,"",0
"2020-06-08","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.6,0,0,0,"",0
"2020-06-09","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.64,0,0,0,"",0
"2020-06-09","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6,0,0,0,"",0
"2020-06-09","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.25,0,0,0,"",0
"2020-06-09","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.63,0,0,0,"",0
"2020-06-10","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.69,0,0,0,"",0
"2020-06-10","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.65,0,0,0,"",0
"2020-06-10","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,"",0
"2020-06-10","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.68,0,0,0,"",0
"2020-06-11","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.69,0,0,0,"",0
"2020-06-11","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.65,0,0,0,"",0
"2020-06-11","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,"",0
"2020-06-11","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.68,0,0,0,"",0
"2020-06-12","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.69,0,0,0,"",0
"2020-06-12","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.65,0,0,0,"",0
"2020-06-12","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,"",0
"2020-06-12","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.68,0,0,0,"",0
"2020-06-15","CGZM20","CGZ","CGZ","CGZ",0,"2020-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.69,0,0,0,"",0
"2020-06-15","CGZU20","CGZ","CGZ","CGZ",0,"2020-09-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.65,0,0,0,"",0
"2020-06-15","CGZZ20","CGZ","CGZ","CGZ",0,"2020-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,"",0
"2020-06-15","CGZH21","CGZ","CGZ","CGZ",0,"2021-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.68,0,0,0,"",0
