"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2023-11-01","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,102.23,0,14,0,102.23,56557,102.07,0.16,102.08,102.275,102.08,5773223,6481,102.195,123668,0,0,"",0
"2023-11-01","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,102.035,0,1,0,0,0,0,0,0,0,0,0,0,102.835,0,0,0,"",0
"2023-11-01","CGZM24","CGZ","CGZ","CGZ",0,"2024-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.665,0,0,0,"",0
"2023-11-01","CGZU24","CGZ","CGZ","CGZ",0,"2024-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.055,0,0,0,"",0
"2023-11-02","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,102.2,102.225,142,51,102.2,50450,102.195,0.005,102.26,102.305,102.195,5150855,6451,102.205,125815,0,0,"",0
"2023-11-02","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,102.035,0,1,0,0,0,0,0,0,0,0,0,0,102.845,0,0,0,"",0
"2023-11-02","CGZM24","CGZ","CGZ","CGZ",0,"2024-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.675,0,0,0,"",0
"2023-11-02","CGZU24","CGZ","CGZ","CGZ",0,"2024-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.065,0,0,0,"",0
"2023-11-03","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,102.445,102.47,1,3,102.465,69718,102.205,0.26,102.19,102.53,102.18,7136741,9017,102.495,126428,0,0,"",0
"2023-11-03","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.135,0,0,0,"",0
"2023-11-03","CGZM24","CGZ","CGZ","CGZ",0,"2024-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.965,0,0,0,"",0
"2023-11-03","CGZU24","CGZ","CGZ","CGZ",0,"2024-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.355,0,0,0,"",0
"2023-11-06","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,102.36,102.365,256,75,102.36,30173,102.495,-0.135,102.455,102.48,102.355,3088139,4140,102.375,128284,0,0,"",0
