"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2021-11-01","CGZZ21","CGZ","CGZ","CGZ",0,"2021-12-20",0,1,108.425,108.43,25,125,108.425,18906,108.435,-0.01,108.34,108.45,108.285,2048787,675,108.435,93718,0,0,"",0
"2021-11-01","CGZH22","CGZ","CGZ","CGZ",0,"2022-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.245,0,0,0,"",0
"2021-11-01","CGZM22","CGZ","CGZ","CGZ",0,"2022-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.545,0,0,0,"",0
"2021-11-01","CGZU22","CGZ","CGZ","CGZ",0,"2022-09-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.025,0,0,0,"",0
"2021-11-02","CGZZ21","CGZ","CGZ","CGZ",0,"2021-12-20",0,1,108.47,108.48,78,75,108.47,13653,108.45,0.02,108.38,108.54,108.38,1480990,698,108.45,94795,0,0,"",0
"2021-11-02","CGZH22","CGZ","CGZ","CGZ",0,"2022-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.26,0,0,0,"",0
"2021-11-02","CGZM22","CGZ","CGZ","CGZ",0,"2022-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.56,0,0,0,"",0
"2021-11-02","CGZU22","CGZ","CGZ","CGZ",0,"2022-09-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.04,0,0,0,"",0
"2021-11-03","CGZZ21","CGZ","CGZ","CGZ",0,"2021-12-20",0,1,108.48,108.49,13,5,108.49,20337,108.42,0.07,108.49,108.5,108.34,2204951,688,108.42,96450,0,0,"",0
"2021-11-03","CGZH22","CGZ","CGZ","CGZ",0,"2022-03-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108.23,0,0,0,"",0
"2021-11-03","CGZM22","CGZ","CGZ","CGZ",0,"2022-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.53,0,0,0,"",0
