"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2025-11-03","CGZZ25","CGZ","CGZ","CGZ",0,"2025-12-18",0,1,105.925,105.935,244,1,105.925,64135,105.955,-0.03,105.98,105.99,105.925,6791520,4379,105.93,352417,0,0,"0000-00-00",0
"2025-11-03","CGZH26","CGZ","CGZ","CGZ",0,"2026-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.95,0,0,0,"0000-00-00",0
"2025-11-03","CGZM26","CGZ","CGZ","CGZ",0,"2026-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.96,0,0,0,"0000-00-00",0
"2025-11-03","CGZU26","CGZ","CGZ","CGZ",0,"2026-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.975,0,0,0,"2025-09-18",0
"2025-11-04","CGZZ25","CGZ","CGZ","CGZ",0,"2025-12-18",0,1,105.96,105.97,33,150,105.96,96389,105.93,0.03,105.915,105.975,105.91,10198939,3744,105.925,344725,0,0,"0000-00-00",0
"2025-11-04","CGZH26","CGZ","CGZ","CGZ",0,"2026-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.945,0,0,0,"0000-00-00",0
"2025-11-04","CGZM26","CGZ","CGZ","CGZ",0,"2026-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.955,0,0,0,"0000-00-00",0
"2025-11-04","CGZU26","CGZ","CGZ","CGZ",0,"2026-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.97,0,0,0,"2025-09-18",0
"2025-11-05","CGZZ25","CGZ","CGZ","CGZ",0,"2025-12-18",0,1,105.92,105.93,1,117,105.93,68201,105.925,0.005,105.965,105.99,105.925,7207932,4498,105.94,338688,0,0,"0000-00-00",0
"2025-11-05","CGZH26","CGZ","CGZ","CGZ",0,"2026-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.96,0,0,0,"0000-00-00",0
"2025-11-05","CGZM26","CGZ","CGZ","CGZ",0,"2026-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.97,0,0,0,"0000-00-00",0
"2025-11-05","CGZU26","CGZ","CGZ","CGZ",0,"2026-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.985,0,0,0,"2025-09-18",0
"2025-11-06","CGZZ25","CGZ","CGZ","CGZ",0,"2025-12-18",0,1,105.99,106,25,10,105.995,69029,105.94,0.055,105.93,106.005,105.925,7310267,3907,105.99,341940,0,0,"0000-00-00",0
"2025-11-06","CGZH26","CGZ","CGZ","CGZ",0,"2026-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.01,0,0,0,"0000-00-00",0
"2025-11-06","CGZM26","CGZ","CGZ","CGZ",0,"2026-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.02,0,0,0,"0000-00-00",0
"2025-11-06","CGZU26","CGZ","CGZ","CGZ",0,"2026-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.035,0,0,0,"2025-09-18",0
