"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2021-12-01","CRAU21","CRA","CRA","CRA",0,"2021-12-15",0,1,99.8175,99.8275,19,100,0,0,0,0,0,0,0,0,0,99.815,894,0,0,"",0
"2021-12-01","CRAZ21","CRA","CRA","CRA",0,"2022-03-16",0,1,99.75,99.765,100,100,0,0,0,0,0,0,0,0,0,99.75,944,0,0,"",0
"2021-12-01","CRAH22","CRA","CRA","CRA",0,"2022-06-15",0,1,99.455,99.475,105,120,0,0,0,0,0,0,0,0,0,99.45,352,0,0,"",0
"2021-12-01","CRAM22","CRA","CRA","CRA",0,"2022-09-21",0,1,99.015,99.03,100,100,0,0,0,0,0,0,0,0,0,99.005,0,0,0,"",0
"2021-12-01","CRAU22","CRA","CRA","CRA",0,"2022-12-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.985,0,0,0,"",0
"2021-12-01","CRAZ22","CRA","CRA","CRA",0,"2023-03-15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.965,0,0,0,"",0
"2021-12-01","CRAH23","CRA","CRA","CRA",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.935,0,0,0,"",0
"2021-12-01","CRAM23","CRA","CRA","CRA",0,"2023-09-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.905,0,0,0,"",0
"2021-12-01","CRAU23","CRA","CRA","CRA",0,"2023-12-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.875,0,0,0,"",0
"2021-12-01","CRAZ23","CRA","CRA","CRA",0,"2024-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.845,0,0,0,"",0
"2021-12-01","CRAH24","CRA","CRA","CRA",0,"2024-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.81,0,0,0,"",0
"2021-12-01","CRAM24","CRA","CRA","CRA",0,"2024-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.775,0,0,0,"",0
"2021-12-02","CRAU21","CRA","CRA","CRA",0,"2021-12-15",0,1,99.82,99.83,299,200,0,0,0,0,0,0,0,0,0,99.82,894,0,0,"",0
"2021-12-02","CRAZ21","CRA","CRA","CRA",0,"2022-03-16",0,1,99.745,99.755,200,175,0,0,0,0,0,0,0,0,0,99.755,944,0,0,"",0
"2021-12-02","CRAH22","CRA","CRA","CRA",0,"2022-06-15",0,1,99.45,99.465,100,100,0,0,0,0,0,0,0,0,0,99.455,352,0,0,"",0
"2021-12-02","CRAM22","CRA","CRA","CRA",0,"2022-09-21",0,1,99.005,99.02,100,100,0,0,0,0,0,0,0,0,0,99.01,0,0,0,"",0
"2021-12-02","CRAU22","CRA","CRA","CRA",0,"2022-12-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.99,0,0,0,"",0
"2021-12-02","CRAZ22","CRA","CRA","CRA",0,"2023-03-15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.97,0,0,0,"",0
"2021-12-02","CRAH23","CRA","CRA","CRA",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.94,0,0,0,"",0
"2021-12-02","CRAM23","CRA","CRA","CRA",0,"2023-09-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.91,0,0,0,"",0
"2021-12-02","CRAU23","CRA","CRA","CRA",0,"2023-12-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.88,0,0,0,"",0
"2021-12-02","CRAZ23","CRA","CRA","CRA",0,"2024-03-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.85,0,0,0,"",0
"2021-12-02","CRAH24","CRA","CRA","CRA",0,"2024-06-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.815,0,0,0,"",0
"2021-12-02","CRAM24","CRA","CRA","CRA",0,"2024-09-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.78,0,0,0,"",0
"2021-12-03","CRAU21","CRA","CRA","CRA",0,"2021-12-15",0,1,99.82,99.83,199,200,0,0,0,0,0,0,0,0,0,99.82,894,0,0,"",0
"2021-12-03","CRAZ21","CRA","CRA","CRA",0,"2022-03-16",0,1,99.72,99.735,100,100,0,0,0,0,0,0,0,0,0,99.735,944,0,0,"",0
"2021-12-03","CRAH22","CRA","CRA","CRA",0,"2022-06-15",0,1,99.36,99.385,100,100,0,0,0,0,0,0,0,0,0,99.4,352,0,0,"",0
"2021-12-03","CRAM22","CRA","CRA","CRA",0,"2022-09-21",0,1,98.94,98.955,100,100,0,0,0,0,0,0,0,0,0,98.965,0,0,0,"",0
"2021-12-03","CRAU22","CRA","CRA","CRA",0,"2022-12-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.945,0,0,0,"",0
