"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2020-06-01","BAXM20","BAX","BAX","BAX",0,"2020-06-15",0,1,99.45,99.455,9547,51,0,12597,0,-0.005,99.46,99.465,99.45,1252741,295,99.455,177387,0,0,"",0
"2020-06-01","BAXN20","BAX","BAX","BAX",0,"2020-07-13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.46,0,0,0,"",0
"2020-06-01","BAXQ20","BAX","BAX","BAX",0,"2020-08-17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.48,0,0,0,"",0
"2020-06-01","BAXU20","BAX","BAX","BAX",0,"2020-09-14",0,1,99.465,99.47,226,13,0,11332,0,-0.005,99.48,99.49,99.47,1126938,616,99.475,146561,0,0,"",0
"2020-06-01","BAXZ20","BAX","BAX","BAX",0,"2020-12-14",0,1,99.455,99.46,37,35,0,9890,0,-0.005,99.46,99.475,99.455,983330,660,99.46,133227,0,0,"",0
"2020-06-01","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.455,99.46,501,38,0,10302,0,-0.005,99.46,99.48,99.455,1024198,959,99.465,170889,0,0,"",0
"2020-06-01","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.44,99.45,21,131,0,7433,0,-0.01,99.45,99.46,99.435,738915,577,99.45,124140,0,0,"",0
"2020-06-01","BAXU21","BAX","BAX","BAX",0,"2021-09-13",0,1,99.42,99.425,248,50,0,4957,0,-0.01,99.435,99.445,99.42,492632,450,99.43,103691,0,0,"",0
"2020-06-01","BAXZ21","BAX","BAX","BAX",0,"2021-12-13",0,1,99.385,99.4,132,25,0,4515,0,-0.01,99.395,99.41,99.38,448556,424,99.395,61709,0,0,"",0
"2020-06-01","BAXH22","BAX","BAX","BAX",0,"2022-03-14",0,1,99.36,99.37,13,75,0,2718,0,-0.01,99.375,99.39,99.355,269915,329,99.375,38455,0,0,"",0
"2020-06-01","BAXM22","BAX","BAX","BAX",0,"2022-06-13",0,1,0,0,0,0,0,177,0,-0.01,99.34,99.34,99.32,17572,26,99.34,4735,0,0,"",0
"2020-06-01","BAXU22","BAX","BAX","BAX",0,"2022-09-19",0,1,0,0,0,0,0,71,0,-0.01,99.32,99.32,99.29,7046,14,99.3,2836,0,0,"",0
"2020-06-01","BAXZ22","BAX","BAX","BAX",0,"2022-12-19",0,1,0,0,0,0,0,30,0,-0.03,99.27,99.27,99.24,2972,10,99.26,1612,0,0,"",0
"2020-06-01","BAXH23","BAX","BAX","BAX",0,"2023-03-13",0,1,0,99.23,0,25,0,162,0,-0.01,99.23,99.23,99.2,16064,26,99.22,992,0,0,"",0
"2020-06-02","BAXM20","BAX","BAX","BAX",0,"2020-06-15",0,1,99.445,99.45,6489,2441,99.445,11109,99.445,0,99.455,99.455,99.445,1104675,215,99.445,178477,0,0,"",0
"2020-06-02","BAXN20","BAX","BAX","BAX",0,"2020-07-13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.45,0,0,0,"",0
"2020-06-02","BAXQ20","BAX","BAX","BAX",0,"2020-08-17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.47,0,0,0,"",0
"2020-06-02","BAXU20","BAX","BAX","BAX",0,"2020-09-14",0,1,99.465,99.47,544,143,99.47,9289,99.47,0,99.465,99.47,99.46,923726,431,99.47,147098,0,0,"",0
"2020-06-02","BAXZ20","BAX","BAX","BAX",0,"2020-12-14",0,1,99.455,99.46,502,258,0,4589,0,0.005,99.46,99.46,99.45,456119,510,99.455,135371,0,0,"",0
"2020-06-02","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.46,99.475,68,105,99.465,5033,99.46,0.005,99.455,99.465,99.455,500311,510,99.46,172862,0,0,"",0
"2020-06-02","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.44,99.45,80,151,99.445,4599,99.445,0,99.445,99.45,99.435,457155,381,99.445,124691,0,0,"",0
"2020-06-02","BAXU21","BAX","BAX","BAX",0,"2021-09-13",0,1,99.42,99.44,125,32,0,3413,0,-0.005,99.425,99.425,99.41,339158,360,99.425,105549,0,0,"",0
"2020-06-02","BAXZ21","BAX","BAX","BAX",0,"2021-12-13",0,1,99.38,99.385,8,65,0,2504,0,0,99.39,99.39,99.375,248714,291,99.385,63646,0,0,"",0
"2020-06-02","BAXH22","BAX","BAX","BAX",0,"2022-03-14",0,1,99.355,99.36,250,15,99.36,1838,99.36,0,99.37,99.37,99.35,182453,393,99.36,39048,0,0,"",0
"2020-06-02","BAXM22","BAX","BAX","BAX",0,"2022-06-13",0,1,99.32,0,100,0,0,49,0,-0.02,99.33,99.33,99.32,4861,11,99.32,4862,0,0,"",0
"2020-06-02","BAXU22","BAX","BAX","BAX",0,"2022-09-19",0,1,0,0,0,0,0,31,0,-0.01,99.29,99.29,99.29,3077,1,99.28,2894,0,0,"",0
"2020-06-02","BAXZ22","BAX","BAX","BAX",0,"2022-12-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.24,1622,0,0,"",0
"2020-06-02","BAXH23","BAX","BAX","BAX",0,"2023-03-13",0,1,0,0,0,0,0,4,0,0,99.21,99.22,99.21,396,2,99.21,1126,0,0,"",0
"2020-06-03","BAXM20","BAX","BAX","BAX",0,"2020-06-15",0,1,99.435,99.445,6263,2404,0,27030,0,0.005,99.445,99.45,99.435,2687775,395,99.435,180273,0,0,"",0
"2020-06-03","BAXN20","BAX","BAX","BAX",0,"2020-07-13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.44,0,0,0,"",0
"2020-06-03","BAXQ20","BAX","BAX","BAX",0,"2020-08-17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.46,0,0,0,"",0
"2020-06-03","BAXU20","BAX","BAX","BAX",0,"2020-09-14",0,1,99.45,99.455,3087,126,99.455,25360,99.45,0.005,99.465,99.475,99.44,2521679,1159,99.45,150454,0,0,"",0
"2020-06-03","BAXZ20","BAX","BAX","BAX",0,"2020-12-14",0,1,99.425,99.435,111,26,99.43,17202,99.43,0,99.45,99.46,99.425,1710023,1110,99.43,134956,0,0,"",0
"2020-06-03","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.42,99.425,138,55,99.42,26475,99.415,0.005,99.46,99.47,99.41,2631754,1619,99.415,171871,0,0,"",0
"2020-06-03","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.385,99.395,144,75,99.39,20903,99.385,0.005,99.44,99.45,99.385,2077368,1359,99.385,124916,0,0,"",0
"2020-06-03","BAXU21","BAX","BAX","BAX",0,"2021-09-13",0,1,99.34,99.36,32,11,99.355,14326,99.355,0,99.415,99.425,99.355,1423228,947,99.355,106445,0,0,"",0
"2020-06-03","BAXZ21","BAX","BAX","BAX",0,"2021-12-13",0,1,99.31,99.335,250,58,99.315,8591,99.31,0.005,99.38,99.39,99.305,853075,867,99.31,63980,0,0,"",0
"2020-06-03","BAXH22","BAX","BAX","BAX",0,"2022-03-14",0,1,99.29,99.305,206,23,99.29,4011,99.285,0.005,99.35,99.365,99.285,398078,625,99.285,39695,0,0,"",0
"2020-06-03","BAXM22","BAX","BAX","BAX",0,"2022-06-13",0,1,99.25,99.26,200,30,0,419,0,-0.07,99.31,99.33,99.25,41537,189,99.25,4813,0,0,"",0
"2020-06-03","BAXU22","BAX","BAX","BAX",0,"2022-09-19",0,1,0,0,0,0,0,69,0,-0.06,99.29,99.29,99.22,6844,8,99.22,2911,0,0,"",0
"2020-06-03","BAXZ22","BAX","BAX","BAX",0,"2022-12-19",0,1,0,99.2,0,100,0,359,0,-0.06,99.25,99.25,99.18,35559,263,99.18,1609,0,0,"",0
"2020-06-03","BAXH23","BAX","BAX","BAX",0,"2023-03-13",0,1,0,0,0,0,0,18,0,-0.06,99.2,99.2,99.15,1784,6,99.15,1103,0,0,"",0
"2020-06-04","BAXM20","BAX","BAX","BAX",0,"2020-06-15",0,1,99.44,99.445,207,1835,0,14428,0,0.005,99.44,99.445,99.435,1434604,296,99.435,188145,0,0,"",0
"2020-06-04","BAXN20","BAX","BAX","BAX",0,"2020-07-13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.44,0,0,0,"",0
"2020-06-04","BAXQ20","BAX","BAX","BAX",0,"2020-08-17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.46,0,0,0,"",0
"2020-06-04","BAXU20","BAX","BAX","BAX",0,"2020-09-14",0,1,99.46,99.465,112,493,99.465,15200,99.46,0.005,99.46,99.465,99.45,1511400,835,99.46,162553,0,0,"",0
"2020-06-04","BAXZ20","BAX","BAX","BAX",0,"2020-12-14",0,1,99.435,99.44,463,9,0,24301,0,-0.005,99.44,99.45,99.43,2415377,2310,99.44,141768,0,0,"",0
"2020-06-04","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.42,99.425,1,24,0,24487,0,-0.005,99.42,99.44,99.415,2433801,1861,99.425,179353,0,0,"",0
"2020-06-04","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.375,99.38,194,100,99.38,14489,99.385,-0.005,99.39,99.41,99.375,1439422,1054,99.385,126746,0,0,"",0
